SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	Blocked	
15	05-Nov-2014	   1	Red	k	0	1.3264	O	W	IO	AW	rb	br	2	647	1	4	1
15	05-Nov-2014	   2	Red	w	1	0.8919	W	P	VW	NP	rr	bb	2	2006	1	4	1
15	05-Nov-2014	   3	Red	m	1	0.4423	M	N	SM	ZN	br	rb	2	2006	1	4	1
15	05-Nov-2014	   4	Red	i	1	0.9192	F	I	KF	RI	bb	rr	2	647	1	4	1
15	05-Nov-2014	   5	Red	n	1	1.4586	F	N	YF	RN	rb	br	2	647	1	4	1
15	05-Nov-2014	   6	Red	w	0	1.0595	M	H	LM	CH	bb	rr	2	647	1	4	1
15	05-Nov-2014	   7	Red	c	0	1.0898	H	D	MH	UD	br	rb	2	647	1	4	1
15	05-Nov-2014	   8	Red	j	1	0.5765	J	G	WJ	HG	br	rb	2	2006	1	4	1
15	05-Nov-2014	   9	Red	b	1	0.7137	B	J	XB	UJ	br	rb	2	2006	1	4	1
15	05-Nov-2014	  10	Red	m	1	0.9878	W	M	GW	EM	rb	br	2	647	1	4	1
15	05-Nov-2014	  11	Red	c	1	0.7585	C	S	LC	IS	br	rb	2	2006	1	4	1
15	05-Nov-2014	  12	Red	w	1	0.7751	W	N	RW	GN	rr	bb	2	647	1	4	1
15	05-Nov-2014	  13	Red	y	1	0.6413	P	Y	XP	RY	bb	rr	2	2006	1	4	1
15	05-Nov-2014	  14	Red	g	1	0.1504	F	G	OF	PG	rb	br	2	2006	1	4	1
15	05-Nov-2014	  15	Red	b	0	1.0367	C	F	LC	UF	rb	br	2	647	1	4	1
15	05-Nov-2014	  16	Red	c	1	0.7573	C	J	MC	LJ	br	rb	2	2006	1	4	1
15	05-Nov-2014	   1	Blue	d	0	0.8463	W	X	LW	HX	br	rb	2	647	1	4	1
15	05-Nov-2014	   2	Blue	q	1	0.4445	X	Q	MX	GQ	br	rb	2	2006	1	4	1
15	05-Nov-2014	   3	Blue	f	1	0.5704	O	F	YO	EF	rr	bb	2	2006	1	4	1
15	05-Nov-2014	   4	Blue	h	1	0.7397	T	H	LT	DH	br	rb	2	2006	1	4	1
15	05-Nov-2014	   5	Blue	g	1	0.5506	J	G	KJ	TG	br	rb	2	2006	1	4	1
15	05-Nov-2014	   6	Blue	b	0	1.0395	H	Z	AH	IZ	rb	br	2	647	1	4	1
15	05-Nov-2014	   7	Blue	x	1	1.1360	S	X	BS	LX	br	rb	2	647	1	4	1
15	05-Nov-2014	   8	Blue	y	1	0.6196	Z	Y	SZ	OY	rr	bb	2	2006	1	4	1
15	05-Nov-2014	   9	Blue	q	0	1.7464	C	M	QC	TM	br	rb	2	647	1	4	1
15	05-Nov-2014	  10	Blue	w	1	0.3784	W	H	RW	MH	rb	br	2	2006	1	4	1
15	05-Nov-2014	  11	Blue	s	0	1.7287	B	I	EB	SI	bb	rr	2	647	1	4	1
15	05-Nov-2014	  12	Blue	j	1	0.6493	G	J	OG	YJ	br	rb	2	2006	1	4	1
15	05-Nov-2014	  13	Blue	i	1	0.7985	I	A	PI	CA	bb	rr	2	647	1	4	1
15	05-Nov-2014	  14	Blue	e	1	0.7201	N	E	FN	PE	br	rb	2	2006	1	4	1
15	05-Nov-2014	  15	Blue	p	0	2.1071	Z	F	DZ	KF	rr	bb	2	647	1	4	1
15	05-Nov-2014	  16	Blue	b	1	0.9335	U	B	SU	GB	br	rb	2	647	1	4	1
15	05-Nov-2014	   1	Red	i	1	0.5619	L	I	HEL	JGI	rrb	bbr	3	2006	1	4	1
15	05-Nov-2014	   2	Red	y	1	0.7699	G	Y	VMG	PEY	brb	rbr	3	647	1	4	1
15	05-Nov-2014	   3	Red	y	1	0.7028	Y	N	TPY	KWN	rbr	brb	3	2006	1	4	1
15	05-Nov-2014	   4	Red	m	0	1.1556	M	N	LZM	FRN	rrb	bbr	3	647	1	4	1
15	05-Nov-2014	   5	Red	n	1	0.9112	S	N	LZS	FAN	rrb	bbr	3	647	1	4	1
15	05-Nov-2014	   6	Red	v	0	1.1800	P	X	NAP	JSX	bbb	rrr	3	647	1	4	1
15	05-Nov-2014	   7	Red	q	1	0.9220	Q	Y	PMQ	IGY	bbr	rrb	3	2006	1	4	1
15	05-Nov-2014	   8	Red	q	1	0.6239	Q	U	SJQ	WCU	bbr	rrb	3	2006	1	4	1
15	05-Nov-2014	   9	Red	u	1	1.1196	H	U	OSH	MZU	brb	rbr	3	2006	1	4	1
15	05-Nov-2014	  10	Red	j	1	0.5355	K	J	UTK	CQJ	brb	rbr	3	2006	1	4	1
15	05-Nov-2014	  11	Red	g	1	0.6105	M	G	XIM	BEG	brb	rbr	3	2006	1	4	1
15	05-Nov-2014	  12	Red	w	0	0.8113	D	Q	PUD	OBQ	bbb	rrr	3	2006	1	4	1
15	05-Nov-2014	  13	Red	b	0	2.6996	H	A	MPH	QCA	brb	rbr	3	647	1	4	1
15	05-Nov-2014	  14	Red	x	1	0.7144	X	L	ETX	MBL	rbr	brb	3	647	1	4	1
15	05-Nov-2014	  15	Red	f	1	0.7020	F	I	OSF	XKI	brr	rbb	3	647	1	4	1
15	05-Nov-2014	  16	Red	f	1	0.8104	D	F	LPD	HJF	rrb	bbr	3	647	1	4	1
15	05-Nov-2014	   1	Blue	l	1	0.4052	L	H	UFL	BNH	brb	rbr	3	2005	1	4	1
15	05-Nov-2014	   2	Blue	c	1	0.9564	C	X	WLC	HVX	bbb	rrr	3	2005	1	4	1
15	05-Nov-2014	   3	Blue	z	1	0.8027	Z	D	TAZ	RUD	bbb	rrr	3	2005	1	4	1
15	05-Nov-2014	   4	Blue	y	1	0.4525	E	Y	UQE	FOY	rbr	brb	3	2005	1	4	1
15	05-Nov-2014	   5	Blue	u	1	0.8661	U	T	KOU	MDT	bbb	rrr	3	646	1	4	1
15	05-Nov-2014	   6	Blue	r	1	1.9449	E	R	JOE	YVR	rrr	bbb	3	646	1	4	1
15	05-Nov-2014	   7	Blue	b	1	0.9061	H	B	EFH	DQB	rbr	brb	3	646	1	4	1
15	05-Nov-2014	   8	Blue	b	1	0.5762	B	P	LVB	AIP	rrb	bbr	3	2005	1	4	1
15	05-Nov-2014	   9	Blue	q	1	1.3381	M	Q	GAM	YXQ	rbr	brb	3	2005	1	4	1
15	05-Nov-2014	  10	Blue	k	1	1.0159	K	O	VNK	QDO	rbb	brr	3	646	1	4	1
15	05-Nov-2014	  11	Blue	t	1	0.4993	T	F	GMT	RVF	bbb	rrr	3	2005	1	4	1
15	05-Nov-2014	  12	Blue	g	1	0.5355	G	Q	VZG	OSQ	rrb	bbr	3	2005	1	4	1
15	05-Nov-2014	  13	Blue	m	1	1.1463	M	L	IPM	XAL	rbb	brr	3	646	1	4	1
15	05-Nov-2014	  14	Blue	n	1	0.6556	N	F	PSN	TOF	bbb	rrr	3	646	1	4	1
15	05-Nov-2014	  15	Blue	i	1	0.8134	L	I	JRL	ZYI	brr	rbb	3	646	1	4	1
15	05-Nov-2014	  16	Blue	v	1	0.7097	V	O	DWV	NXO	rrb	bbr	3	646	1	4	1
15	05-Nov-2014	   1	Red	d	0	1.7939	T	Y	T	Y	b	r	1	2006	1	4	1
15	05-Nov-2014	   2	Red	j	1	1.2536	J	L	J	L	r	b	1	646	1	4	1
15	05-Nov-2014	   3	Red	s	1	1.2693	S	E	S	E	r	b	1	646	1	4	1
15	05-Nov-2014	   4	Red	q	1	1.0758	Q	S	Q	S	r	b	1	2006	1	4	1
15	05-Nov-2014	   5	Red	k	1	0.3773	F	K	F	K	b	r	1	2006	1	4	1
15	05-Nov-2014	   6	Red	c	1	0.3509	H	C	H	C	b	r	1	2006	1	4	1
15	05-Nov-2014	   7	Red	w	0	0.5658	Z	S	Z	S	r	b	1	2006	1	4	1
15	05-Nov-2014	   8	Red	l	1	1.3812	L	B	L	B	r	b	1	646	1	4	1
15	05-Nov-2014	   9	Red	v	1	1.0890	V	F	V	F	r	b	1	646	1	4	1
15	05-Nov-2014	  10	Red	o	1	0.8601	Z	O	Z	O	b	r	1	646	1	4	1
15	05-Nov-2014	  11	Red	e	1	0.3287	E	H	E	H	r	b	1	2006	1	4	1
15	05-Nov-2014	  12	Red	b	0	1.5291	P	I	P	I	b	r	1	2006	1	4	1
15	05-Nov-2014	  13	Red	k	1	0.4064	P	K	P	K	b	r	1	2006	1	4	1
15	05-Nov-2014	  14	Red	x	1	1.1710	X	U	X	U	r	b	1	646	1	4	1
15	05-Nov-2014	  15	Red	y	1	0.6280	Y	S	Y	S	r	b	1	646	1	4	1
15	05-Nov-2014	  16	Red	b	0	0.9373	K	A	K	A	r	b	1	646	1	4	1
15	05-Nov-2014	   1	Blue	o	0	4.9043	V	S	V	S	r	b	1	2006	1	4	1
15	05-Nov-2014	   2	Blue	m	1	0.7586	M	E	M	E	b	r	1	2006	1	4	1
15	05-Nov-2014	   3	Blue	s	1	0.4403	S	F	S	F	b	r	1	2006	1	4	1
15	05-Nov-2014	   4	Blue	y	1	1.1234	S	Y	S	Y	r	b	1	646	1	4	1
15	05-Nov-2014	   5	Blue	x	1	0.9587	A	X	A	X	r	b	1	646	1	4	1
15	05-Nov-2014	   6	Blue	f	1	0.4004	V	F	V	F	r	b	1	2006	1	4	1
15	05-Nov-2014	   7	Blue	t	1	0.1579	U	T	U	T	r	b	1	2006	1	4	1
15	05-Nov-2014	   8	Blue	u	1	0.8183	U	D	U	D	b	r	1	646	1	4	1
15	05-Nov-2014	   9	Blue	x	1	0.9363	X	T	X	T	b	r	1	646	1	4	1
15	05-Nov-2014	  10	Blue	d	1	0.5943	K	D	K	D	r	b	1	646	1	4	1
15	05-Nov-2014	  11	Blue	g	1	0.2570	G	Y	G	Y	b	r	1	2006	1	4	1
15	05-Nov-2014	  12	Blue	u	1	0.7697	U	V	U	V	b	r	1	646	1	4	1
15	05-Nov-2014	  13	Blue	q	0	1.5465	H	B	H	B	r	b	1	646	1	4	1
15	05-Nov-2014	  14	Blue	k	1	0.2397	E	K	E	K	r	b	1	2006	1	4	1
15	05-Nov-2014	  15	Blue	g	1	0.9856	G	C	G	C	b	r	1	646	1	4	1
15	05-Nov-2014	  16	Blue	k	1	0.3137	V	K	V	K	r	b	1	2006	1	4	1
15	05-Nov-2014	   1	Red	r	1	0.3384	D	R	XMCD	LEGR	brbb	rbrr	4	2006	1	4	1
15	05-Nov-2014	   2	Red	q	1	1.3239	U	Q	NVBU	TCXQ	bbrb	rrbr	4	647	1	4	1
15	05-Nov-2014	   3	Red	u	1	0.3032	C	U	PDXC	ZORU	rrbb	bbrr	4	2006	1	4	1
15	05-Nov-2014	   4	Red	c	0	1.5306	H	V	MECH	FSIV	rrbr	bbrb	4	647	1	4	1
15	05-Nov-2014	   5	Red	i	1	0.6776	O	I	HUGO	XWCI	rbrb	brbr	4	2006	1	4	1
15	05-Nov-2014	   6	Red	o	1	0.4061	O	H	WGIO	XBPH	brrr	rbbb	4	2006	1	4	1
15	05-Nov-2014	   7	Red	d	1	0.8216	D	C	WFMD	AEBC	rrrr	bbbb	4	647	1	4	1
15	05-Nov-2014	   8	Red	c	1	0.7352	C	H	MERC	BVKH	bbbr	rrrb	4	647	1	4	1
15	05-Nov-2014	   9	Red	u	1	0.3092	J	U	HPNJ	OXKU	rrrb	bbbr	4	2006	1	4	1
15	05-Nov-2014	  10	Red	u	1	0.5448	U	F	WTDU	HVRF	rrbr	bbrb	4	647	1	4	1
15	05-Nov-2014	  11	Red	u	1	0.5015	U	V	JYCU	NQLV	bbbr	rrrb	4	2006	1	4	1
15	05-Nov-2014	  12	Red	c	0	4.9083	Y	V	IPJY	SROV	rrrr	bbbb	4	2006	1	4	1
15	05-Nov-2014	  13	Red	e	1	1.7278	F	E	HRIF	SUVE	brbb	rbrr	4	647	1	4	1
15	05-Nov-2014	  14	Red	o	1	0.6494	O	H	YZJO	CXNH	rbbr	brrb	4	647	1	4	1
15	05-Nov-2014	  15	Red	o	1	1.3374	D	O	PTSD	NFYO	rbrb	brbr	4	647	1	4	1
15	05-Nov-2014	  16	Red	v	1	0.3303	V	K	OMIV	BPQK	rrbr	bbrb	4	2006	1	4	1
15	05-Nov-2014	   1	Blue	i	1	0.0010	I	B	PALI	UFOB	brrb	rbbr	4	2006	1	4	1
15	05-Nov-2014	   2	Blue	c	1	0.3509	M	C	UTWM	FOVC	rrrr	bbbb	4	2006	1	4	1
15	05-Nov-2014	   3	Blue	w	1	0.3695	X	W	LGHX	TBPW	rbrr	brbb	4	2006	1	4	1
15	05-Nov-2014	   4	Blue	j	1	0.0552	P	J	DYTP	OXSJ	rbrr	brbb	4	2006	1	4	1
15	05-Nov-2014	   5	Blue	d	1	2.4511	D	T	CXRD	NIKT	rrbb	bbrr	4	647	1	4	1
15	05-Nov-2014	   6	Blue	i	1	0.5796	I	S	ZQRI	DPJS	bbrb	rrbr	4	647	1	4	1
15	05-Nov-2014	   7	Blue	b	1	0.6611	B	U	YGQB	JZLU	brrb	rbbr	4	647	1	4	1
15	05-Nov-2014	   8	Blue	y	1	0.3979	Y	I	BJGY	NWOI	rbrb	brbr	4	2006	1	4	1
15	05-Nov-2014	   9	Blue	u	1	0.6728	U	G	PDMU	FXBG	rbrb	brbr	4	2006	1	4	1
15	05-Nov-2014	  10	Blue	l	1	0.8154	X	L	SBWX	GDIL	bbbr	rrrb	4	647	1	4	1
15	05-Nov-2014	  11	Blue	f	1	0.5310	F	N	IPAF	CEON	bbrb	rrbr	4	2006	1	4	1
15	05-Nov-2014	  12	Blue	i	1	0.7182	I	S	MZHI	YFQS	brbb	rbrr	4	647	1	4	1
15	05-Nov-2014	  13	Blue	f	1	0.9074	F	V	DMSF	QNGV	rbrb	brbr	4	647	1	4	1
15	05-Nov-2014	  14	Blue	j	1	0.7460	Q	J	SOTQ	KBZJ	rrrr	bbbb	4	647	1	4	1
15	05-Nov-2014	  15	Blue	w	0	0.6165	N	X	SRAN	IFDX	rbbb	brrr	4	2006	1	4	1
15	05-Nov-2014	  16	Blue	l	1	0.6732	L	Y	DXWL	GCFY	brrb	rbbr	4	647	1	4	1
15	05-Nov-2014	   1	Red	w	0	2.6745	G	X	GNWO	XURI	b	r	1	2006	1	4	0
15	05-Nov-2014	   2	Red	w	0	1.6087	J	S	RNJD	XFSZ	bbr	rrb	3	646	1	4	0
15	05-Nov-2014	   3	Red	a	0	0.3443	P	D	YQLP	FJND	brbr	rbrb	4	2006	1	4	0
15	05-Nov-2014	   4	Red	q	0	1.4155	W	I	WFNJ	ITUO	b	r	1	2006	1	4	0
15	05-Nov-2014	   5	Red	u	0	1.5156	Z	O	WQLZ	CTXO	rbbb	brrr	4	646	1	4	0
15	05-Nov-2014	   6	Red	l	1	1.9413	L	I	XWLN	YEIT	brr	rbb	3	2006	1	4	0
15	05-Nov-2014	   7	Red	a	0	1.5758	Q	Z	LPQR	YUZK	bbr	rrb	3	646	1	4	0
15	05-Nov-2014	   8	Red	q	0	1.3097	M	T	XNMK	WATU	brr	rbb	3	2006	1	4	0
15	05-Nov-2014	   9	Red	o	0	1.3109	I	J	NMIE	OWJU	bbb	rrr	3	2006	1	4	0
15	05-Nov-2014	  10	Red	t	1	1.2197	T	W	TSRX	WKUM	r	b	1	2006	1	4	0
15	05-Nov-2014	  11	Red	l	1	1.3318	L	Y	LKQO	YXMP	r	b	1	646	1	4	0
