SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	symbols	
21	04-Mar-2016	  24	Red	n	1	0.9361	N	Z	N	Z	r	b	1	2000	1	6	1
21	04-Mar-2016	  25	Red	c	0	1.5469	V	S	nV	nS	rb	br	2	650	1	6	1
21	04-Mar-2016	  26	Red	b	0	1.1290	Q	B	Q	B	r	b	1	650	1	6	1
21	04-Mar-2016	  27	Red	k	1	1.0483	K	Y	nnnK	nnnY	rrbr	bbrb	4	2000	1	6	1
21	04-Mar-2016	  28	Red	f	1	1.0716	F	R	F	R	r	b	1	2000	1	6	1
21	04-Mar-2016	  29	Red	k	0	1.3263	K	W	nK	nW	bb	rr	2	2000	1	6	1
21	04-Mar-2016	  30	Red	z	1	1.2295	F	Z	nnF	nnZ	brb	rbr	3	2000	1	6	1
21	04-Mar-2016	  31	Red	a	1	1.1187	A	M	A	M	r	b	1	650	1	6	1
21	04-Mar-2016	  32	Red	a	1	1.1014	A	B	nnnA	nnnB	brrr	rbbb	4	650	1	6	1
21	04-Mar-2016	   1	Blue	f	0	1.1781	F	X	F	X	r	b	1	2000	1	6	1
21	04-Mar-2016	   2	Blue	x	1	9.3161	X	Q	X	Q	b	r	1	2000	1	6	1
21	04-Mar-2016	   3	Blue	f	0	1.7538	O	F	O	F	b	r	1	2000	1	6	1
21	04-Mar-2016	   4	Blue	l	1	1.0486	Q	L	nQ	nL	br	rb	2	650	1	6	1
21	04-Mar-2016	   5	Blue	j	1	0.9935	P	J	nnP	nnJ	rbr	brb	3	2000	1	6	1
21	04-Mar-2016	   6	Blue	w	1	1.1364	W	Q	W	Q	b	r	1	650	1	6	1
21	04-Mar-2016	   7	Blue	b	0	0.9604	K	W	nnK	nnW	rbr	brb	3	2000	1	6	1
21	04-Mar-2016	   8	Blue	l	1	1.2115	L	T	nL	nT	rb	br	2	2000	1	6	1
21	04-Mar-2016	   9	Blue	j	0	1.1256	J	U	nnJ	nnU	brr	rbb	3	650	1	6	1
21	04-Mar-2016	  10	Blue	p	1	1.1530	P	I	nP	nI	bb	rr	2	650	1	6	1
21	04-Mar-2016	  11	Blue	a	1	0.9155	A	W	A	W	b	r	1	650	1	6	1
21	04-Mar-2016	  12	Blue	o	1	1.0567	O	F	nnO	nnF	rbb	brr	3	650	1	6	1
21	04-Mar-2016	  13	Blue	c	1	1.0008	Z	C	nZ	nC	br	rb	2	2000	1	6	1
21	04-Mar-2016	  14	Blue	y	1	0.9282	Y	C	Y	C	b	r	1	2000	1	6	1
21	04-Mar-2016	  15	Blue	t	1	1.0930	T	C	nT	nC	bb	rr	2	2000	1	6	1
21	04-Mar-2016	  16	Blue	b	1	1.0845	J	B	nnJ	nnB	brr	rbb	3	2000	1	6	1
21	04-Mar-2016	  17	Blue	t	0	2.6904	R	L	R	L	r	b	1	650	1	6	1
21	04-Mar-2016	  18	Blue	n	1	0.9221	N	G	nnN	nnG	bbb	rrr	3	2000	1	6	1
21	04-Mar-2016	  19	Blue	r	1	1.0570	R	M	nnnR	nnnM	rrrb	bbbr	4	2000	1	6	1
21	04-Mar-2016	  20	Blue	z	1	0.9459	Z	F	nnnZ	nnnF	bbrb	rrbr	4	650	1	6	1
21	04-Mar-2016	  21	Blue	i	1	1.0377	I	D	nI	nD	bb	rr	2	650	1	6	1
21	04-Mar-2016	  22	Blue	w	0	0.9268	R	Q	nnnR	nnnQ	rbrr	brbb	4	650	1	6	1
21	04-Mar-2016	  23	Blue	i	1	0.8139	O	I	nnnO	nnnI	brbr	rbrb	4	2000	1	6	1
21	04-Mar-2016	  24	Blue	r	1	1.5209	R	Z	nnnR	nnnZ	rbbb	brrr	4	650	1	6	1
21	04-Mar-2016	  25	Blue	n	1	0.8030	N	K	nnnN	nnnK	rrrb	bbbr	4	2000	1	6	1
21	04-Mar-2016	  26	Blue	l	1	1.3881	L	S	nL	nS	rb	br	2	2000	1	6	1
21	04-Mar-2016	  27	Blue	o	0	1.2491	Q	B	nnQ	nnB	rbb	brr	3	650	1	6	1
21	04-Mar-2016	  28	Blue	i	1	1.3871	I	C	nnnI	nnnC	rrrb	bbbr	4	650	1	6	1
21	04-Mar-2016	  29	Blue	a	1	0.3547	A	W	nnnA	nnnW	rbbb	brrr	4	2000	1	6	1
