SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	symbols
1	5-Feb-16	1	Red	h	1	1.3636	H	K	YHOQ	LKEX	rr	bb	2	2000	1	6	0
1	5-Feb-16	2	Red	w	1	1.1286	W	M	RWOS	KMVL	rr	bb	2	650	1	6	0
1	5-Feb-16	3	Red	t	0	1.63	W	Z	QTBW	VHYZ	rrbb	bbrr	4	650	1	6	0
1	5-Feb-16	4	Red	q	1	1.0415	Q	E	NQVX	JEFT	rr	bb	2	650	1	6	0
1	5-Feb-16	5	Red	e	1	0.7845	A	E	JATM	UECZ	bb	rr	2	2000	1	6	0
1	5-Feb-16	6	Red	j	1	0.8871	J	C	YOKJ	MLHC	brbr	rbrb	4	2000	1	6	0
1	5-Feb-16	7	Red	d	1	1.716	G	D	RCGZ	ONDF	bbb	rrr	3	650	1	6	0
1	5-Feb-16	8	Red	h	1	1.6757	F	H	EFIG	RHNO	bb	rr	2	650	1	6	0
1	5-Feb-16	9	Red	y	1	1.0517	Y	S	YKCW	SLRF	r	b	1	2000	1	6	0
1	5-Feb-16	10	Red	v	1	0.8677	J	V	TJRK	AVQS	bb	rr	2	2000	1	6	0
1	5-Feb-16	11	Red	l	1	1.5293	L	T	LJUS	TWPA	r	b	1	650	1	6	0
1	5-Feb-16	12	Red	u	1	2.03	U	O	UZKP	OBJM	r	b	1	650	1	6	0
1	5-Feb-16	13	Red	o	1	4.5524	O	E	FVKO	LDIE	bbrr	rrbb	4	2000	1	6	0
1	5-Feb-16	14	Red	e	0	3.1906	B	L	OTBR	MELD	rbb	brr	3	650	1	6	0
1	5-Feb-16	15	Red	d	1	0.9481	D	F	YNDR	QWFX	brr	rbb	3	2000	1	6	0
1	5-Feb-16	16	Red	j	0	1.9436	O	X	AJOL	DHXV	rrr	bbb	3	650	1	6	0
1	5-Feb-16	17	Red	m	1	1.0984	X	M	JTEX	RLDM	rrbb	bbrr	4	650	1	6	0
1	5-Feb-16	18	Red	e	1	2.2322	C	E	CUHA	EFSG	b	r	1	650	1	6	0
1	5-Feb-16	19	Red	c	1	1.1435	J	C	SAJX	RVCY	brb	rbr	3	2000	1	6	0
1	5-Feb-16	20	Red	i	1	0.8738	X	I	XHOU	ILJY	b	r	1	2000	1	6	0
1	5-Feb-16	21	Red	z	0	2.0639	Y	Z	ESYV	MDZG	rbr	brb	3	650	1	6	0
1	5-Feb-16	22	Red	g	1	3.0361	G	S	GIVW	SDCT	r	b	1	650	1	6	0
1	5-Feb-16	23	Red	b	0	1.3737	X	K	BXYG	LKNT	rb	br	2	650	1	6	0
1	5-Feb-16	24	Red	s	1	1.3958	X	S	AHRX	KEBS	bbrb	rrbr	4	650	1	6	0
1	5-Feb-16	25	Red	r	1	1.2327	M	R	YHIM	SZUR	rbrb	brbr	4	650	1	6	0
1	5-Feb-16	26	Red	h	0	0.8598	V	N	XFVP	CHNT	bbr	rrb	3	2000	1	6	0
1	5-Feb-16	27	Red	p	0	0.9268	C	E	ZTPC	SWQE	rrrb	bbbr	4	2000	1	6	0
1	5-Feb-16	28	Red	a	1	1.2578	A	I	HAOX	UIKC	br	rb	2	2000	1	6	0
1	5-Feb-16	29	Red	c	1	1.1324	C	I	QACP	STIV	rrr	bbb	3	2000	1	6	0
1	5-Feb-16	30	Red	d	1	1.072	H	D	HGXQ	DFEO	b	r	1	2000	1	6	0
1	5-Feb-16	31	Red	n	1	1.5404	S	N	SZKT	NOHL	b	r	1	2000	1	6	0
1	5-Feb-16	32	Red	l	0	0.5341	P	U	WHTP	LKGU	bbrb	rrbr	4	2000	1	6	0
1	5-Feb-16	1	Blue	s	0	1.6269	C	I	ASRC	OQMI	bbrr	rrbb	4	650	1	6	0
1	5-Feb-16	2	Blue	v	0	2.1097	E	C	GVEY	RKCN	bbr	rrb	3	650	1	6	0
1	5-Feb-16	3	Blue	k	0	0.9658	M	I	UFVM	KDQI	rbrr	brbb	4	2000	1	6	0
1	5-Feb-16	4	Blue	l	0	1.2322	C	S	HLCJ	OTSI	bbr	rrb	3	650	1	6	0
1	5-Feb-16	5	Blue	q	0	2.7837	D	E	DCOU	EGSV	b	r	1	2000	1	6	0
1	5-Feb-16	6	Blue	p	1	1.2779	B	P	ECBR	UHPK	brr	rbb	3	2000	1	6	0
1	5-Feb-16	7	Blue	r	0	3.1798	U	G	UARM	GZTF	r	b	1	2000	1	6	0
1	5-Feb-16	8	Blue	r	0	1.3845	J	O	XJMF	ROAC	rb	br	2	650	1	6	0
1	5-Feb-16	9	Blue	b	1	1.4349	B	Y	BWCA	YKSU	b	r	1	2000	1	6	0
1	5-Feb-16	10	Blue	u	0	1.2398	P	R	HQCP	KDUR	brrb	rbbr	4	650	1	6	0
1	5-Feb-16	11	Blue	p	0	1.2745	I	J	KWPI	XNQJ	brbb	rbrr	4	650	1	6	0
1	5-Feb-16	12	Blue	e	1	2.6907	E	O	DEBC	YOTG	rb	br	2	2000	1	6	0
1	5-Feb-16	13	Blue	u	0	1.5869	R	A	QEUR	ITYA	bbbr	rrrb	4	650	1	6	0
1	5-Feb-16	14	Blue	x	1	2.2535	N	X	NLYU	XPZK	r	b	1	650	1	6	0
1	5-Feb-16	15	Blue	u	1	1.9064	U	Y	UASJ	YHNM	b	r	1	650	1	6	0
1	5-Feb-16	16	Blue	r	1	1.0908	R	H	XRMK	CHNV	bb	rr	2	2000	1	6	0
1	5-Feb-16	17	Blue	k	0	1.294	R	Y	EJPR	BKNY	rrrb	bbbr	4	2000	1	6	0
1	5-Feb-16	18	Blue	d	0	5.6289	N	R	DNWO	CRIG	br	rb	2	2000	1	6	0
1	5-Feb-16	19	Blue	l	0	2.797	U	K	TRUH	FGKZ	bbr	rrb	3	650	1	6	0
1	5-Feb-16	20	Blue	m	0	2.2462	I	D	MIWA	VDEC	br	rb	2	650	1	6	0
1	5-Feb-16	21	Blue	j	1	0.8406	U	J	AFCU	PLVJ	bbbr	rrrb	4	2000	1	6	0
1	5-Feb-16	22	Blue	h	1	1.0493	L	H	WOLJ	VGHA	brr	rbb	3	2000	1	6	0
1	5-Feb-16	23	Blue	s	1	1.0265	O	S	NKOU	XHSM	rrr	bbb	3	2000	1	6	0
1	5-Feb-16	24	Blue	n	1	2.4262	R	N	RSQA	NMTK	r	b	1	650	1	6	0
1	5-Feb-16	25	Blue	s	0	1.48	C	N	CHZG	NOMY	b	r	1	2000	1	6	0
1	5-Feb-16	26	Blue	t	0	1.2883	G	F	TGSX	WFQM	br	rb	2	650	1	6	0
1	5-Feb-16	27	Blue	u	0	1.0152	V	A	DXVT	UHAE	rrb	bbr	3	650	1	6	0
1	5-Feb-16	28	Blue	i	0	0.7946	N	G	LUNP	MIGE	brr	rbb	3	2000	1	6	0
1	5-Feb-16	29	Blue	j	1	1.1095	Y	J	QFTY	AWGJ	bbbr	rrrb	4	2000	1	6	0
1	5-Feb-16	30	Blue	q	1	2.0677	Q	Y	QSBT	YGFE	b	r	1	650	1	6	0
1	5-Feb-16	31	Blue	m	0	1.7734	Y	G	TYSW	MGZD	rr	bb	2	650	1	6	0
1	5-Feb-16	32	Blue	a	0	1.0368	L	H	ALRW	VHPI	br	rb	2	2000	1	6	0
1	5-Feb-16	1	Red	k	0	1.1878	I	F	YTSI	KEDF	bbbr	rrrb	4	650	1	6	0
1	5-Feb-16	2	Red	y	0	1.3804	P	N	DPMT	YNEG	br	rb	2	650	1	6	0
1	5-Feb-16	3	Red	f	1	1.0966	F	X	FGER	XQCP	r	b	1	650	1	6	0
1	5-Feb-16	4	Red	q	0	0.4538	O	J	XOZD	QJKG	br	rb	2	2000	1	6	0
1	5-Feb-16	5	Red	g	1	1.141	S	G	MLSW	TBGI	bbb	rrr	3	2000	1	6	0
1	5-Feb-16	6	Red	q	1	1.4165	Q	P	QRAC	PDLU	r	b	1	2000	1	6	0
1	5-Feb-16	7	Red	l	1	0.9149	N	L	GFNU	YKLH	rbb	brr	3	650	1	6	0
1	5-Feb-16	8	Red	k	0	1.364	Z	W	IQJZ	SMKW	rbbr	brrb	4	2000	1	6	0
1	5-Feb-16	9	Red	j	1	0.953	J	P	VTJR	KNPO	bbr	rrb	3	650	1	6	0
1	5-Feb-16	10	Red	c	1	1.1644	C	B	ICKU	OBQP	rr	bb	2	2000	1	6	0
1	5-Feb-16	11	Red	b	0	1.0348	R	V	NMBR	XQLV	brrb	rbbr	4	650	1	6	0
1	5-Feb-16	12	Red	i	1	0.7972	W	I	YRDW	OCSI	brbb	rbrr	4	650	1	6	0
1	5-Feb-16	13	Red	j	1	0.8693	J	I	STJH	NBIQ	rrr	bbb	3	650	1	6	0
1	5-Feb-16	14	Red	a	1	1.0215	A	H	ZNAF	XSHL	brr	rbb	3	2000	1	6	0
1	5-Feb-16	15	Red	c	1	1.2475	C	G	HVAC	OXSG	rrrr	bbbb	4	650	1	6	0
1	5-Feb-16	16	Red	h	0	2.2981	N	G	SQNR	MHGE	bbb	rrr	3	2000	1	6	0
1	5-Feb-16	17	Red	r	1	1.6932	R	H	RPUV	HXWQ	r	b	1	650	1	6	0
1	5-Feb-16	18	Red	f	0	1.3579	O	W	GOXH	FWUI	bb	rr	2	650	1	6	0
1	5-Feb-16	19	Red	k	0	1.0512	Y	X	TYSP	KXGD	bb	rr	2	2000	1	6	0
1	5-Feb-16	20	Red	n	1	1.1217	F	N	FBVU	NGMR	b	r	1	2000	1	6	0
1	5-Feb-16	21	Red	o	0	0.9697	L	C	BFAL	YHOC	bbbr	rrrb	4	2000	1	6	0
1	5-Feb-16	22	Red	z	0	1.9555	G	K	DGAW	ZKSY	rr	bb	2	650	1	6	0
1	5-Feb-16	23	Red	r	0	1.4039	Q	O	BQFY	ROXL	rb	br	2	650	1	6	0
1	5-Feb-16	24	Red	i	1	0.87	I	H	BIGP	ZHOK	br	rb	2	2000	1	6	0
1	5-Feb-16	25	Red	w	1	0.8627	W	A	TCWR	YKAZ	rrr	bbb	3	2000	1	6	0
1	5-Feb-16	26	Red	y	1	0.9065	Y	C	YTOQ	CIUW	r	b	1	2000	1	6	0
