SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	Blocked	
18	07-Nov-2014	   1	Blue	w	0	5.7843	J	V	UJ	FV	br	rb	2	2005	1	4	1
18	07-Nov-2014	   2	Blue	s	1	0.7687	M	S	CM	PS	rr	bb	2	646	1	4	1
18	07-Nov-2014	   3	Blue	p	1	2.8596	X	P	NX	KP	br	rb	2	2005	1	4	1
18	07-Nov-2014	   4	Blue	s	0	1.0925	Z	Y	HZ	SY	rb	br	2	2005	1	4	1
18	07-Nov-2014	   5	Blue	w	1	0.1314	W	A	JW	ZA	rb	br	2	2005	1	4	1
18	07-Nov-2014	   6	Blue	y	0	1.5870	B	F	HB	KF	br	rb	2	646	1	4	1
18	07-Nov-2014	   7	Blue	l	1	1.5271	L	K	AL	PK	rb	br	2	646	1	4	1
18	07-Nov-2014	   8	Blue	t	1	0.9655	T	G	WT	MG	rb	br	2	646	1	4	1
18	07-Nov-2014	   9	Blue	a	0	1.4249	S	Z	OS	EZ	br	rb	2	2005	1	4	1
18	07-Nov-2014	  10	Blue	v	1	0.0011	V	B	QV	OB	rb	br	2	2005	1	4	1
18	07-Nov-2014	  11	Blue	m	0	0.9994	J	Y	IJ	BY	br	rb	2	646	1	4	1
18	07-Nov-2014	  12	Blue	x	1	0.9039	H	X	WH	GX	br	rb	2	646	1	4	1
18	07-Nov-2014	  13	Blue	i	1	3.2606	R	I	TR	NI	br	rb	2	646	1	4	1
18	07-Nov-2014	  14	Blue	q	1	1.8636	F	Q	VF	WQ	br	rb	2	2005	1	4	1
18	07-Nov-2014	  15	Blue	r	1	0.1555	R	W	GR	AW	rb	br	2	2005	1	4	1
18	07-Nov-2014	  16	Blue	s	1	0.8185	S	E	US	IE	bb	rr	2	646	1	4	1
18	07-Nov-2014	   1	Red	w	0	2.8767	S	D	RS	TD	br	rb	2	646	1	4	1
18	07-Nov-2014	   2	Red	m	1	0.9158	H	M	NH	QM	bb	rr	2	646	1	4	1
18	07-Nov-2014	   3	Red	w	0	1.5045	D	M	XD	IM	rb	br	2	646	1	4	1
18	07-Nov-2014	   4	Red	m	0	0.1925	R	F	VR	GF	bb	rr	2	2006	1	4	1
18	07-Nov-2014	   5	Red	l	1	1.0137	O	L	TO	SL	bb	rr	2	646	1	4	1
18	07-Nov-2014	   6	Red	v	1	0.0381	G	V	ZG	HV	bb	rr	2	2006	1	4	1
18	07-Nov-2014	   7	Red	u	1	1.3616	I	U	OI	AU	rb	br	2	646	1	4	1
18	07-Nov-2014	   8	Red	y	1	0.0010	X	Y	RX	FY	bb	rr	2	2006	1	4	1
18	07-Nov-2014	   9	Red	c	1	3.8268	C	R	KC	TR	rr	bb	2	2006	1	4	1
18	07-Nov-2014	  10	Red	g	1	1.0239	Q	G	XQ	NG	bb	rr	2	646	1	4	1
18	07-Nov-2014	  11	Red	l	1	0.0010	P	L	HP	FL	rb	br	2	2006	1	4	1
18	07-Nov-2014	  12	Red	p	1	0.5972	D	P	QD	MP	bb	rr	2	2006	1	4	1
18	07-Nov-2014	  13	Red	j	1	0.0010	O	J	XO	PJ	bb	rr	2	2006	1	4	1
18	07-Nov-2014	  14	Red	f	1	0.9773	F	W	BF	UW	br	rb	2	646	1	4	1
18	07-Nov-2014	  15	Red	o	1	1.2584	B	O	YB	QO	rb	br	2	646	1	4	1
18	07-Nov-2014	  16	Red	b	1	1.8432	B	F	VB	PF	rr	bb	2	2006	1	4	1
18	07-Nov-2014	   1	Blue	k	1	2.1882	G	K	G	K	r	b	1	2006	1	4	1
18	07-Nov-2014	   2	Blue	p	0	0.1469	P	Q	P	Q	r	b	1	2006	1	4	1
18	07-Nov-2014	   3	Blue	g	1	0.0011	H	G	H	G	r	b	1	2006	1	4	1
18	07-Nov-2014	   4	Blue	p	1	0.8047	P	W	P	W	b	r	1	647	1	4	1
18	07-Nov-2014	   5	Blue	j	1	0.3871	J	V	J	V	b	r	1	2006	1	4	1
18	07-Nov-2014	   6	Blue	c	1	0.8733	C	R	C	R	b	r	1	647	1	4	1
18	07-Nov-2014	   7	Blue	n	1	1.2132	Q	N	Q	N	r	b	1	647	1	4	1
18	07-Nov-2014	   8	Blue	t	1	1.1734	T	Q	T	Q	b	r	1	647	1	4	1
18	07-Nov-2014	   9	Blue	l	1	2.8393	L	Q	L	Q	b	r	1	2006	1	4	1
18	07-Nov-2014	  10	Blue	m	0	0.9744	W	N	W	N	r	b	1	647	1	4	1
18	07-Nov-2014	  11	Blue	x	1	0.4870	X	S	X	S	b	r	1	647	1	4	1
18	07-Nov-2014	  12	Blue	s	1	0.7534	S	W	S	W	b	r	1	647	1	4	1
18	07-Nov-2014	  13	Blue	b	0	0.0011	C	A	C	A	r	b	1	2006	1	4	1
18	07-Nov-2014	  14	Blue	w	0	1.5486	Y	X	Y	X	r	b	1	647	1	4	1
18	07-Nov-2014	  15	Blue	x	1	0.3380	X	T	X	T	b	r	1	2006	1	4	1
18	07-Nov-2014	  16	Blue	b	0	0.3055	M	C	M	C	b	r	1	2006	1	4	1
18	07-Nov-2014	   1	Red	b	0	1.4767	D	Q	D	Q	b	r	1	646	1	4	1
18	07-Nov-2014	   2	Red	i	1	0.7553	D	I	D	I	b	r	1	646	1	4	1
18	07-Nov-2014	   3	Red	b	0	0.0011	N	K	N	K	r	b	1	2006	1	4	1
18	07-Nov-2014	   4	Red	x	1	0.9196	P	X	P	X	b	r	1	646	1	4	1
18	07-Nov-2014	   5	Red	p	1	0.8420	P	U	P	U	r	b	1	646	1	4	1
18	07-Nov-2014	   6	Red	l	1	1.0397	H	L	H	L	b	r	1	646	1	4	1
18	07-Nov-2014	   7	Red	x	1	0.4300	H	X	H	X	b	r	1	2006	1	4	1
18	07-Nov-2014	   8	Red	c	1	0.8340	Z	C	Z	C	b	r	1	646	1	4	1
18	07-Nov-2014	   9	Red	t	1	0.3441	T	R	T	R	r	b	1	2006	1	4	1
18	07-Nov-2014	  10	Red	d	1	0.5031	D	X	D	X	r	b	1	2006	1	4	1
18	07-Nov-2014	  11	Red	g	1	1.8568	G	J	G	J	r	b	1	646	1	4	1
18	07-Nov-2014	  12	Red	w	0	0.7947	Y	A	Y	A	b	r	1	2006	1	4	1
18	07-Nov-2014	  13	Red	c	1	0.5379	Q	C	Q	C	b	r	1	2006	1	4	1
18	07-Nov-2014	  14	Red	p	1	0.0011	P	G	P	G	r	b	1	2006	1	4	1
18	07-Nov-2014	  15	Red	t	1	1.3809	T	J	T	J	r	b	1	646	1	4	1
18	07-Nov-2014	  16	Red	x	1	0.3685	X	E	X	E	r	b	1	2006	1	4	1
18	07-Nov-2014	   1	Blue	b	1	0.7351	B	L	YHPB	ZKQL	rbrb	brbr	4	646	1	4	1
18	07-Nov-2014	   2	Blue	b	1	0.5489	B	S	YDIB	GROS	rrbb	bbrr	4	2006	1	4	1
18	07-Nov-2014	   3	Blue	m	0	0.9147	Z	F	COYZ	MJPF	rrrr	bbbb	4	2006	1	4	1
18	07-Nov-2014	   4	Blue	r	0	0.9070	C	E	NSFC	RJDE	rrrb	bbbr	4	2006	1	4	1
18	07-Nov-2014	   5	Blue	a	0	1.2749	V	L	YHUV	TPCL	brbb	rbrr	4	2006	1	4	1
18	07-Nov-2014	   6	Blue	f	1	2.3172	R	F	CIYR	TLHF	bbbr	rrrb	4	646	1	4	1
18	07-Nov-2014	   7	Blue	a	1	0.7059	A	F	ZTVA	PHWF	brbb	rbrr	4	646	1	4	1
18	07-Nov-2014	   8	Blue	q	1	0.7113	Q	C	ZXVQ	GIHC	rbrb	brbr	4	646	1	4	1
18	07-Nov-2014	   9	Blue	q	1	1.0206	Q	G	USIQ	WBFG	bbrb	rrbr	4	646	1	4	1
18	07-Nov-2014	  10	Blue	u	1	0.6337	K	U	AXZK	WHTU	rrrr	bbbb	4	2006	1	4	1
18	07-Nov-2014	  11	Blue	m	1	0.8743	B	M	QKJB	LXCM	rbrr	brbb	4	646	1	4	1
18	07-Nov-2014	  12	Blue	q	1	0.8654	Q	T	FCDQ	ARHT	brrb	rbbr	4	646	1	4	1
18	07-Nov-2014	  13	Blue	u	0	1.2033	R	Q	UWNR	HJOQ	bbbb	rrrr	4	2006	1	4	1
18	07-Nov-2014	  14	Blue	n	1	1.0419	H	N	XIKH	WPTN	rbbr	brrb	4	2006	1	4	1
18	07-Nov-2014	  15	Blue	r	1	1.0754	V	R	ZAJV	IKHR	bbrr	rrbb	4	646	1	4	1
18	07-Nov-2014	  16	Blue	e	1	0.5819	E	F	QUNE	STGF	rrrb	bbbr	4	2006	1	4	1
18	07-Nov-2014	   1	Red	h	1	1.2582	F	H	LVIF	XZJH	bbbb	rrrr	4	647	1	4	1
18	07-Nov-2014	   2	Red	d	0	1.9716	P	H	YBOP	GXSH	rrrb	bbbr	4	647	1	4	1
18	07-Nov-2014	   3	Red	x	1	0.5918	A	X	WJEA	DBSX	rbbb	brrr	4	2006	1	4	1
18	07-Nov-2014	   4	Red	i	1	1.4174	R	I	ZNBR	WGEI	brrb	rbbr	4	647	1	4	1
18	07-Nov-2014	   5	Red	c	1	0.3287	O	C	YHMO	PEAC	rbbb	brrr	4	2006	1	4	1
18	07-Nov-2014	   6	Red	m	0	1.3794	B	N	GEKB	AOMN	rbrb	brbr	4	647	1	4	1
18	07-Nov-2014	   7	Red	v	1	1.0409	A	V	LFGA	XWHV	rbbb	brrr	4	647	1	4	1
