SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	Blocked	
23	14-Nov-2014	   1	Red	b	1	5.1613	B	Y	B	Y	r	b	1	2006	1	5	1
23	14-Nov-2014	   2	Red	a	1	0.5589	A	K	A	K	r	b	1	647	1	5	1
23	14-Nov-2014	   3	Red	s	1	0.3830	S	C	S	C	r	b	1	647	1	5	1
23	14-Nov-2014	   4	Red	k	0	4.6609	Y	D	Y	D	b	r	1	2006	1	5	1
23	14-Nov-2014	   5	Red	s	0	5.7252	G	V	G	V	b	r	1	2006	1	5	1
23	14-Nov-2014	   6	Red	t	1	0.6957	N	T	N	T	b	r	1	647	1	5	1
23	14-Nov-2014	   7	Red	k	0	5.8588	B	J	B	J	b	r	1	2006	1	5	1
23	14-Nov-2014	   8	Red	m	0	3.3614	S	Z	S	Z	b	r	1	2006	1	5	1
23	14-Nov-2014	   9	Red	g	0	1.3591	P	Y	P	Y	b	r	1	2006	1	5	1
23	14-Nov-2014	  10	Red	p	1	0.8262	J	P	J	P	b	r	1	647	1	5	1
23	14-Nov-2014	  11	Red	v	0	1.7680	U	P	U	P	r	b	1	647	1	5	1
23	14-Nov-2014	  12	Red	s	1	0.5085	E	S	E	S	b	r	1	647	1	5	1
23	14-Nov-2014	  13	Red	a	0	2.7094	U	S	U	S	r	b	1	2006	1	5	1
23	14-Nov-2014	  14	Red	w	1	0.8499	W	Y	W	Y	r	b	1	647	1	5	1
23	14-Nov-2014	  15	Red	z	1	0.7984	Z	T	Z	T	r	b	1	647	1	5	1
23	14-Nov-2014	  16	Red	b	0	1.5500	I	N	I	N	b	r	1	2006	1	5	1
23	14-Nov-2014	   1	Blue	b	1	1.6587	B	L	B	L	b	r	1	2006	1	5	1
23	14-Nov-2014	   2	Blue	d	1	4.0672	D	B	D	B	b	r	1	2006	1	5	1
23	14-Nov-2014	   3	Blue	p	1	0.9771	P	L	P	L	b	r	1	2006	1	5	1
23	14-Nov-2014	   4	Blue	b	0	0.5703	M	Z	M	Z	b	r	1	2006	1	5	1
23	14-Nov-2014	   5	Blue	s	0	0.8168	F	L	F	L	r	b	1	647	1	5	1
23	14-Nov-2014	   6	Blue	w	0	1.9598	B	T	B	T	b	r	1	2006	1	5	1
23	14-Nov-2014	   7	Blue	f	1	1.2463	F	Z	F	Z	b	r	1	2006	1	5	1
23	14-Nov-2014	   8	Blue	m	0	0.8619	K	J	K	J	b	r	1	647	1	5	1
23	14-Nov-2014	   9	Blue	w	0	3.4261	X	R	X	R	b	r	1	2006	1	5	1
23	14-Nov-2014	  10	Blue	i	1	0.5176	I	S	I	S	b	r	1	647	1	5	1
23	14-Nov-2014	  11	Blue	s	0	2.8788	T	F	T	F	r	b	1	2006	1	5	1
23	14-Nov-2014	  12	Blue	w	0	0.7567	G	P	G	P	b	r	1	647	1	5	1
23	14-Nov-2014	  13	Blue	w	0	1.3401	L	F	L	F	b	r	1	647	1	5	1
23	14-Nov-2014	  14	Blue	w	0	1.1841	I	P	I	P	r	b	1	647	1	5	1
23	14-Nov-2014	  15	Blue	k	0	1.0093	N	G	N	G	r	b	1	647	1	5	1
23	14-Nov-2014	  16	Blue	a	1	0.4571	B	A	B	A	r	b	1	647	1	5	1
23	14-Nov-2014	   1	Red	e	1	0.4047	N	E	ICAN	HKTE	rbrb	brbr	4	647	1	5	1
23	14-Nov-2014	   2	Red	v	1	0.8364	B	V	ZUDB	SKPV	bbbb	rrrr	4	647	1	5	1
23	14-Nov-2014	   3	Red	a	1	1.6480	L	A	ESFL	UVYA	rrbb	bbrr	4	2006	1	5	1
23	14-Nov-2014	   4	Red	z	1	3.2305	Q	Z	BKCQ	FPXZ	rbrb	brbr	4	2006	1	5	1
23	14-Nov-2014	   5	Red	q	0	1.0443	E	M	HLYE	DFGM	rrbb	bbrr	4	647	1	5	1
23	14-Nov-2014	   6	Red	w	0	1.5034	H	X	STIH	FJQX	rrbr	bbrb	4	2006	1	5	1
23	14-Nov-2014	   7	Red	n	1	0.6254	N	E	YQXN	STOE	brbr	rbrb	4	647	1	5	1
23	14-Nov-2014	   8	Red	f	1	0.8017	W	F	EXMW	GKBF	brrb	rbbr	4	647	1	5	1
23	14-Nov-2014	   9	Red	u	1	0.7161	U	X	PDBU	WAHX	brbr	rbrb	4	647	1	5	1
23	14-Nov-2014	  10	Red	h	1	3.6434	H	F	BIYH	RCXF	bbrr	rrbb	4	2006	1	5	1
23	14-Nov-2014	  11	Red	n	0	1.5695	W	R	QBPW	SINR	brrr	rbbb	4	647	1	5	1
23	14-Nov-2014	  12	Red	w	0	3.2747	B	K	AMCB	FLEK	rbbr	brrb	4	2006	1	5	1
23	14-Nov-2014	  13	Red	t	1	1.2732	T	Y	EHWT	RZNY	rbrr	brbb	4	2006	1	5	1
23	14-Nov-2014	  14	Red	v	1	4.8202	E	V	HCGE	KUDV	brbb	rbrr	4	2006	1	5	1
23	14-Nov-2014	  15	Red	t	1	0.5625	T	W	JPUT	FNGW	bbrr	rrbb	4	647	1	5	1
23	14-Nov-2014	  16	Red	j	1	3.2944	J	Y	TVOJ	SIXY	rbrr	brbb	4	2006	1	5	1
23	14-Nov-2014	   1	Blue	s	1	0.8133	S	T	JGNS	HAZT	rrrb	bbbr	4	647	1	5	1
23	14-Nov-2014	   2	Blue	e	1	0.3663	E	B	GRAE	HXYB	bbrb	rrbr	4	647	1	5	1
23	14-Nov-2014	   3	Blue	c	1	3.3629	C	N	TURC	FOPN	rbbb	brrr	4	2006	1	5	1
23	14-Nov-2014	   4	Blue	b	0	0.5547	V	Z	UFSV	XNGZ	brrb	rbbr	4	647	1	5	1
23	14-Nov-2014	   5	Blue	d	1	3.6637	D	F	WMKD	JXNF	rbrb	brbr	4	2006	1	5	1
23	14-Nov-2014	   6	Blue	b	0	1.1346	K	E	BILK	ZPGE	bbbr	rrrb	4	647	1	5	1
23	14-Nov-2014	   7	Blue	a	0	0.7968	C	Q	TSWC	ROBQ	rrrb	bbbr	4	647	1	5	1
23	14-Nov-2014	   8	Blue	r	0	1.3532	H	F	PRBH	NQAF	rbrb	brbr	4	2006	1	5	1
23	14-Nov-2014	   9	Blue	b	0	0.1141	G	U	VHSG	WMNU	rrbb	bbrr	4	2006	1	5	1
23	14-Nov-2014	  10	Blue	z	1	4.0941	Z	E	LGAZ	DCKE	brbb	rbrr	4	2006	1	5	1
23	14-Nov-2014	  11	Blue	w	0	1.0216	O	K	GIEO	FTHK	bbrr	rrbb	4	647	1	5	1
23	14-Nov-2014	  12	Blue	d	0	3.2093	G	W	LZEG	SBDW	bbrb	rrbr	4	2006	1	5	1
23	14-Nov-2014	  13	Blue	y	0	5.6569	G	Q	EMPG	VWXQ	rrbr	bbrb	4	2006	1	5	1
23	14-Nov-2014	  14	Blue	b	0	0.7216	G	D	ICJG	VNKD	rbbb	brrr	4	647	1	5	1
23	14-Nov-2014	  15	Blue	j	1	1.4651	G	J	WHCG	AXNJ	bbrr	rrbb	4	2006	1	5	1
23	14-Nov-2014	  16	Blue	z	0	0.7322	A	N	POHA	GLRN	brrr	rbbb	4	647	1	5	1
23	14-Nov-2014	   1	Red	w	1	0.7126	W	N	QW	DN	br	rb	2	647	1	5	1
