SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	symbols	
26	08-Mar-2016	   1	Red	b	1	1.8529	B	C	RWTB	ZGXC	rbrr	brbb	4	650	1	6	0
26	08-Mar-2016	   2	Red	c	1	1.1647	Z	C	GSOZ	PWTC	rrrb	bbbr	4	2000	1	6	0
26	08-Mar-2016	   3	Red	k	0	3.9107	Q	D	KQZP	GDBR	rr	bb	2	650	1	6	0
26	08-Mar-2016	   4	Red	f	1	1.3141	F	U	RFXH	KUBV	rr	bb	2	2000	1	6	0
26	08-Mar-2016	   5	Red	h	0	1.7460	M	A	HWMU	KFAS	rbb	brr	3	650	1	6	0
26	08-Mar-2016	   6	Red	a	1	1.4266	A	R	VLAU	BCRQ	rbr	brb	3	650	1	6	0
26	08-Mar-2016	   7	Red	d	1	1.7797	D	L	DIRX	LFSM	r	b	1	2000	1	6	0
26	08-Mar-2016	   8	Red	q	1	2.4485	Q	H	QTCN	HIGR	r	b	1	650	1	6	0
26	08-Mar-2016	   9	Red	t	1	1.2768	X	T	XEIY	TWVR	b	r	1	2000	1	6	0
26	08-Mar-2016	  10	Red	b	1	0.9866	Y	B	YQNR	BEVT	b	r	1	2000	1	6	0
26	08-Mar-2016	  11	Red	v	1	1.3142	V	U	XZCV	LKEU	brbr	rbrb	4	2000	1	6	0
26	08-Mar-2016	  12	Red	o	1	1.3215	V	O	AZVX	TLOM	rbb	brr	3	2000	1	6	0
26	08-Mar-2016	  13	Red	h	1	1.0500	H	I	JDZH	VPRI	bbrr	rrbb	4	650	1	6	0
26	08-Mar-2016	  14	Red	a	0	1.4279	G	Z	UBGS	CAZX	rbr	brb	3	2000	1	6	0
26	08-Mar-2016	  15	Red	y	1	1.0729	Y	F	MRYH	TOFG	brr	rbb	3	2000	1	6	0
26	08-Mar-2016	  16	Red	g	0	2.2071	C	X	GCSK	DXIT	rb	br	2	2000	1	6	0
26	08-Mar-2016	  17	Red	s	0	0.9925	V	U	KFAV	RMQU	brrb	rbbr	4	650	1	6	0
26	08-Mar-2016	  18	Red	v	0	0.9875	N	H	FCND	BVHP	rbr	brb	3	650	1	6	0
26	08-Mar-2016	  19	Red	k	0	1.1390	Q	R	KQPH	YRGX	rb	br	2	650	1	6	0
26	08-Mar-2016	  20	Red	r	1	1.9331	L	R	LHCX	RFAO	b	r	1	650	1	6	0
26	08-Mar-2016	  21	Red	z	1	1.2378	H	Z	JSHQ	ODZK	bbb	rrr	3	650	1	6	0
26	08-Mar-2016	  22	Red	q	0	1.3986	U	E	QUNF	DETJ	rb	br	2	650	1	6	0
26	08-Mar-2016	  23	Red	z	1	0.9905	Z	X	YESZ	KTOX	bbrr	rrbb	4	2000	1	6	0
26	08-Mar-2016	  24	Red	d	1	0.9830	M	D	MPUY	DNXK	b	r	1	2000	1	6	0
26	08-Mar-2016	  25	Red	f	1	1.2286	F	J	SHXF	UYDJ	bbrr	rrbb	4	2000	1	6	0
26	08-Mar-2016	  26	Red	h	1	1.0644	H	S	WZHY	KNSG	rbr	brb	3	2000	1	6	0
26	08-Mar-2016	  27	Red	t	0	1.9031	G	T	KGIM	DTJC	br	rb	2	2000	1	6	0
26	08-Mar-2016	  28	Red	e	1	2.9276	J	E	JWDZ	EKLY	b	r	1	650	1	6	0
26	08-Mar-2016	  29	Red	w	0	1.3560	W	I	WFZX	INMP	b	r	1	650	1	6	0
26	08-Mar-2016	  30	Red	w	1	1.0813	W	G	QWYD	LGHZ	rr	bb	2	2000	1	6	0
26	08-Mar-2016	  31	Red	w	0	1.4500	Q	N	HGXQ	OEMN	rbrb	brbr	4	650	1	6	0
26	08-Mar-2016	  32	Red	g	1	1.6653	G	H	QGKI	BHPE	rr	bb	2	650	1	6	0
26	08-Mar-2016	   1	Blue	o	1	1.3245	L	O	CRLG	TXOY	rbr	brb	3	650	1	6	0
26	08-Mar-2016	   2	Blue	e	0	1.4929	S	J	YVHS	DEAJ	rrbr	bbrb	4	650	1	6	0
26	08-Mar-2016	   3	Blue	c	1	1.0473	C	H	MTUC	PIEH	bbbb	rrrr	4	2000	1	6	0
26	08-Mar-2016	   4	Blue	w	0	2.7984	U	Q	UZBJ	QPIR	b	r	1	650	1	6	0
26	08-Mar-2016	   5	Blue	o	1	2.6790	O	H	OTYA	HXVZ	b	r	1	650	1	6	0
26	08-Mar-2016	   6	Blue	v	1	1.0067	V	C	EMVN	RXCO	rbb	brr	3	2000	1	6	0
26	08-Mar-2016	   7	Blue	g	0	1.4070	S	P	RSZD	GPHL	rr	bb	2	650	1	6	0
26	08-Mar-2016	   8	Blue	q	1	2.4975	G	Q	GHEX	QVDB	r	b	1	650	1	6	0
26	08-Mar-2016	   9	Blue	g	0	2.1668	I	X	EYIM	GVXJ	rbr	brb	3	650	1	6	0
26	08-Mar-2016	  10	Blue	x	0	2.3090	G	J	AGMX	ZJTR	rr	bb	2	650	1	6	0
