SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	Blocked	
10	24-Oct-2014	   1	blue	p	0	2.3596	U	M	U	M	b	r	1	2006	1	5	1
10	24-Oct-2014	   2	blue	r	1	0.2404	B	R	B	R	r	b	1	2006	1	5	1
10	24-Oct-2014	   3	blue	f	1	0.0011	M	F	M	F	r	b	1	2006	1	5	1
10	24-Oct-2014	   4	blue	c	0	1.1101	Y	C	Y	C	b	r	1	647	1	5	1
10	24-Oct-2014	   5	blue	t	1	0.9703	T	R	T	R	b	r	1	647	1	5	1
10	24-Oct-2014	   6	blue	m	1	0.8266	M	C	M	C	b	r	1	647	1	5	1
10	24-Oct-2014	   7	blue	l	1	0.8724	L	E	L	E	b	r	1	647	1	5	1
10	24-Oct-2014	   8	blue	b	0	1.0201	N	V	N	V	b	r	1	647	1	5	1
10	24-Oct-2014	   9	blue	d	0	1.2520	J	T	J	T	b	r	1	2006	1	5	1
10	24-Oct-2014	  10	blue	v	1	0.8830	V	Q	V	Q	b	r	1	647	1	5	1
10	24-Oct-2014	  11	blue	p	1	0.9520	O	P	O	P	r	b	1	2006	1	5	1
10	24-Oct-2014	  12	blue	r	0	1.5375	T	A	T	A	r	b	1	647	1	5	1
10	24-Oct-2014	  13	blue	f	1	0.2868	F	U	F	U	b	r	1	2006	1	5	1
10	24-Oct-2014	  14	blue	o	1	0.8880	T	O	T	O	r	b	1	2006	1	5	1
10	24-Oct-2014	  15	blue	e	1	1.2270	O	E	O	E	r	b	1	647	1	5	1
10	24-Oct-2014	  16	blue	h	1	0.7790	H	G	H	G	b	r	1	2006	1	5	1
10	24-Oct-2014	   1	Red	z	1	3.2316	A	Z	A	Z	b	r	1	2006	1	5	1
10	24-Oct-2014	   2	Red	q	1	0.8570	Q	U	Q	U	r	b	1	2006	1	5	1
10	24-Oct-2014	   3	Red	y	1	1.1987	M	Y	M	Y	b	r	1	646	1	5	1
10	24-Oct-2014	   4	Red	z	1	0.8231	L	Z	L	Z	b	r	1	2006	1	5	1
10	24-Oct-2014	   5	Red	c	1	1.0055	C	P	C	P	r	b	1	646	1	5	1
10	24-Oct-2014	   6	Red	h	1	0.9567	H	I	H	I	r	b	1	646	1	5	1
10	24-Oct-2014	   7	Red	n	1	0.9575	N	V	N	V	r	b	1	646	1	5	1
10	24-Oct-2014	   8	Red	n	1	0.9915	S	N	S	N	b	r	1	2006	1	5	1
10	24-Oct-2014	   9	Red	t	1	1.9517	T	G	T	G	r	b	1	646	1	5	1
10	24-Oct-2014	  10	Red	g	1	0.4297	G	S	G	S	r	b	1	2006	1	5	1
10	24-Oct-2014	  11	Red	c	1	0.5060	B	C	B	C	b	r	1	2006	1	5	1
10	24-Oct-2014	  12	Red	j	1	0.4278	J	T	J	T	r	b	1	2006	1	5	1
10	24-Oct-2014	  13	Red	f	1	1.2152	F	G	F	G	r	b	1	646	1	5	1
10	24-Oct-2014	  14	Red	c	1	1.0953	C	M	C	M	r	b	1	646	1	5	1
10	24-Oct-2014	  15	Red	e	1	0.4523	E	Y	E	Y	r	b	1	2006	1	5	1
10	24-Oct-2014	  16	Red	c	0	1.3036	V	O	V	O	b	r	1	646	1	5	1
10	24-Oct-2014	   1	blue	w	0	1.3029	N	E	ICAN	HKTE	rbrb	brbr	4	647	1	5	1
10	24-Oct-2014	   2	blue	b	1	1.3998	B	V	ZUDB	SKPV	bbbb	rrrr	4	647	1	5	1
10	24-Oct-2014	   3	blue	l	1	0.9679	L	A	ESFL	UVYA	rrbb	bbrr	4	2006	1	5	1
10	24-Oct-2014	   4	blue	q	1	1.1182	Q	Z	BKCQ	FPXZ	rbrb	brbr	4	2006	1	5	1
10	24-Oct-2014	   5	blue	e	1	1.0370	E	M	HLYE	DFGM	rrbb	bbrr	4	647	1	5	1
10	24-Oct-2014	   6	blue	x	1	1.0327	H	X	STIH	FJQX	rrbr	bbrb	4	2006	1	5	1
10	24-Oct-2014	   7	blue	a	0	1.0835	N	E	YQXN	STOE	brbr	rbrb	4	647	1	5	1
10	24-Oct-2014	   8	blue	q	0	1.2120	W	F	EXMW	GKBF	brrb	rbbr	4	647	1	5	1
10	24-Oct-2014	   9	blue	v	0	1.6566	U	X	PDBU	WAHX	brbr	rbrb	4	647	1	5	1
10	24-Oct-2014	  10	blue	f	1	0.3585	H	F	BIYH	RCXF	bbrr	rrbb	4	2006	1	5	1
10	24-Oct-2014	  11	blue	r	1	1.7198	W	R	QBPW	SINR	brrr	rbbb	4	647	1	5	1
10	24-Oct-2014	  12	blue	k	1	1.2033	B	K	AMCB	FLEK	rbbr	brrb	4	2006	1	5	1
10	24-Oct-2014	  13	blue	v	0	1.0098	T	Y	EHWT	RZNY	rbrr	brbb	4	2006	1	5	1
10	24-Oct-2014	  14	blue	e	1	0.6542	E	V	HCGE	KUDV	brbb	rbrr	4	2006	1	5	1
10	24-Oct-2014	  15	blue	m	0	2.2938	T	W	JPUT	FNGW	bbrr	rrbb	4	647	1	5	1
10	24-Oct-2014	  16	blue	t	0	0.0011	J	Y	TVOJ	SIXY	rbrr	brbb	4	2006	1	5	1
10	24-Oct-2014	   1	Red	t	1	1.5378	S	T	JGNS	HAZT	rrrb	bbbr	4	647	1	5	1
10	24-Oct-2014	   2	Red	b	1	0.9057	E	B	GRAE	HXYB	bbrb	rrbr	4	647	1	5	1
10	24-Oct-2014	   3	Red	e	0	0.3953	C	N	TURC	FOPN	rbbb	brrr	4	2006	1	5	1
10	24-Oct-2014	   4	Red	z	1	0.7477	V	Z	UFSV	XNGZ	brrb	rbbr	4	647	1	5	1
10	24-Oct-2014	   5	Red	m	0	0.4816	D	F	WMKD	JXNF	rbrb	brbr	4	2006	1	5	1
10	24-Oct-2014	   6	Red	t	0	0.8632	K	E	BILK	ZPGE	bbbr	rrrb	4	647	1	5	1
10	24-Oct-2014	   7	Red	q	1	1.3997	C	Q	TSWC	ROBQ	rrrb	bbbr	4	647	1	5	1
