SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	Blocked	
22	14-Nov-2014	   1	Blue	m	1	0.4957	M	P	UM	VP	bb	rr	2	2006	1	3	1
22	14-Nov-2014	   2	Blue	l	1	0.6896	D	L	GD	NL	rr	bb	2	2006	1	3	1
22	14-Nov-2014	   3	Blue	f	1	1.0317	C	F	YC	JF	br	rb	2	2006	1	3	1
22	14-Nov-2014	   4	Blue	b	0	2.0715	I	C	KI	HC	bb	rr	2	646	1	3	1
22	14-Nov-2014	   5	Blue	p	1	0.8273	E	P	LE	OP	br	rb	2	646	1	3	1
22	14-Nov-2014	   6	Blue	z	1	1.3539	Z	V	KZ	IV	rb	br	2	646	1	3	1
22	14-Nov-2014	   7	Blue	w	1	1.0786	Q	W	VQ	AW	br	rb	2	646	1	3	1
22	14-Nov-2014	   8	Blue	h	1	1.9801	W	H	VW	JH	rr	bb	2	646	1	3	1
22	14-Nov-2014	   9	Blue	u	1	0.4043	U	D	FU	ND	bb	rr	2	2006	1	3	1
22	14-Nov-2014	  10	Blue	t	0	1.5783	T	O	ZT	IO	rr	bb	2	646	1	3	1
22	14-Nov-2014	  11	Blue	s	1	0.6399	G	S	HG	DS	br	rb	2	2006	1	3	1
22	14-Nov-2014	  12	Blue	t	0	2.8849	X	Z	PX	DZ	rr	bb	2	646	1	3	1
22	14-Nov-2014	  13	Blue	z	1	0.5888	Z	E	JZ	YE	bb	rr	2	2006	1	3	1
22	14-Nov-2014	  14	Blue	g	0	0.6135	T	P	BT	WP	br	rb	2	2006	1	3	1
22	14-Nov-2014	  15	Blue	p	0	0.9877	Y	Q	XY	BQ	bb	rr	2	646	1	3	1
22	14-Nov-2014	  16	Blue	g	1	0.0698	L	G	DL	UG	br	rb	2	2006	1	3	1
22	14-Nov-2014	   1	Red	t	0	1.9848	G	M	TG	DM	rb	br	2	647	1	3	1
22	14-Nov-2014	   2	Red	v	1	0.7266	J	V	SJ	EV	bb	rr	2	2006	1	3	1
22	14-Nov-2014	   3	Red	t	0	1.0176	T	D	JT	OD	rb	br	2	647	1	3	1
22	14-Nov-2014	   4	Red	s	0	0.9784	L	S	OL	GS	rr	bb	2	647	1	3	1
22	14-Nov-2014	   5	Red	f	0	1.0842	Y	F	EY	IF	rr	bb	2	647	1	3	1
22	14-Nov-2014	   6	Red	t	1	0.6430	T	B	HT	YB	br	rb	2	2006	1	3	1
22	14-Nov-2014	   7	Red	l	1	0.6418	T	L	RT	ML	bb	rr	2	2006	1	3	1
22	14-Nov-2014	   8	Red	a	0	2.0068	T	F	NT	RF	rb	br	2	647	1	3	1
22	14-Nov-2014	   9	Red	j	1	1.3888	R	J	UR	HJ	rb	br	2	647	1	3	1
22	14-Nov-2014	  10	Red	w	0	2.3924	Q	B	IQ	RB	bb	rr	2	647	1	3	1
22	14-Nov-2014	  11	Red	s	0	0.5378	Z	K	XZ	EK	br	rb	2	2006	1	3	1
22	14-Nov-2014	  12	Red	b	1	0.7246	B	V	SB	JV	br	rb	2	2006	1	3	1
22	14-Nov-2014	  13	Red	t	1	0.7349	X	T	LX	UT	bb	rr	2	2006	1	3	1
