SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	symbols	
24	08-Mar-2016	   1	Red	l	0	1.4667	H	K	YHOQ	LKEX	rr	bb	2	2000	1	6	0
24	08-Mar-2016	   2	Red	w	1	1.2182	W	M	RWOS	KMVL	rr	bb	2	650	1	6	0
24	08-Mar-2016	   3	Red	z	1	0.4463	W	Z	QTBW	VHYZ	rrbb	bbrr	4	650	1	6	0
24	08-Mar-2016	   4	Red	q	1	1.3291	Q	E	NQVX	JEFT	rr	bb	2	650	1	6	0
24	08-Mar-2016	   5	Red	e	1	6.7350	A	E	JATM	UECZ	bb	rr	2	2000	1	6	0
24	08-Mar-2016	   6	Red	j	1	0.9245	J	C	YOKJ	MLHC	brbr	rbrb	4	2000	1	6	0
24	08-Mar-2016	   7	Red	d	1	0.8242	G	D	RCGZ	ONDF	bbb	rrr	3	650	1	6	0
24	08-Mar-2016	   8	Red	h	1	2.1836	F	H	EFIG	RHNO	bb	rr	2	650	1	6	0
24	08-Mar-2016	   9	Red	s	0	1.4296	Y	S	YKCW	SLRF	r	b	1	2000	1	6	0
24	08-Mar-2016	  10	Red	v	1	0.9925	J	V	TJRK	AVQS	bb	rr	2	2000	1	6	0
24	08-Mar-2016	  11	Red	l	1	1.4408	L	T	LJUS	TWPA	r	b	1	650	1	6	0
24	08-Mar-2016	  12	Red	u	1	1.7682	U	O	UZKP	OBJM	r	b	1	650	1	6	0
24	08-Mar-2016	  13	Red	o	1	0.9219	O	E	FVKO	LDIE	bbrr	rrbb	4	2000	1	6	0
24	08-Mar-2016	  14	Red	l	1	0.8395	B	L	OTBR	MELD	rbb	brr	3	650	1	6	0
24	08-Mar-2016	  15	Red	d	1	0.8802	D	F	YNDR	QWFX	brr	rbb	3	2000	1	6	0
24	08-Mar-2016	  16	Red	o	1	0.8148	O	X	AJOL	DHXV	rrr	bbb	3	650	1	6	0
