SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	Blocked	
09	23-Oct-2014	   1	Blue	b	0	0.3992	V	J	UMV	PQJ	bbr	rrb	3	2006	1	5	1
09	23-Oct-2014	   2	Blue	a	0	0.8469	U	J	MFU	AEJ	rbb	brr	3	2006	1	5	1
09	23-Oct-2014	   3	Blue	q	1	0.7122	Q	M	TRQ	UHM	bbb	rrr	3	2006	1	5	1
09	23-Oct-2014	   4	Blue	u	0	1.8844	O	Y	LEO	PWY	brb	rbr	3	647	1	5	1
09	23-Oct-2014	   5	Blue	s	1	0.9111	S	R	JTS	CYR	brb	rbr	3	647	1	5	1
09	23-Oct-2014	   6	Blue	w	0	1.5323	G	X	OPG	EWX	rrr	bbb	3	647	1	5	1
09	23-Oct-2014	   7	Blue	j	1	1.0279	N	J	FUN	DYJ	bbr	rrb	3	647	1	5	1
09	23-Oct-2014	   8	Blue	m	1	0.9724	M	L	OEM	HUL	rbb	brr	3	647	1	5	1
09	23-Oct-2014	   9	Blue	l	1	0.3288	K	L	QOK	NIL	brr	rbb	3	2006	1	5	1
09	23-Oct-2014	  10	Blue	y	1	1.0342	Y	K	JZY	EOK	bbb	rrr	3	647	1	5	1
09	23-Oct-2014	  11	Blue	s	1	0.7321	S	B	MHS	VXB	rbb	brr	3	2006	1	5	1
09	23-Oct-2014	  12	Blue	q	1	1.5838	X	Q	NTX	OBQ	rbr	brb	3	647	1	5	1
09	23-Oct-2014	  13	Blue	w	0	1.0712	N	T	FEN	PWT	bbr	rrb	3	2006	1	5	1
09	23-Oct-2014	  14	Blue	f	1	0.3439	S	F	IRS	LAF	bbr	rrb	3	2006	1	5	1
09	23-Oct-2014	  15	Blue	c	1	1.4961	C	U	VWC	ETU	bbb	rrr	3	647	1	5	1
09	23-Oct-2014	  16	Blue	y	1	0.3861	Y	M	UIY	VDM	rrb	bbr	3	2006	1	5	1
09	23-Oct-2014	   1	Red	q	1	1.9946	S	Q	YS	PQ	rb	br	2	647	1	5	1
09	23-Oct-2014	   2	Red	i	1	0.3610	G	I	PG	QI	bb	rr	2	2006	1	5	1
09	23-Oct-2014	   3	Red	i	1	0.2979	P	I	VP	KI	bb	rr	2	2006	1	5	1
09	23-Oct-2014	   4	Red	g	1	0.5002	T	G	OT	ZG	bb	rr	2	2006	1	5	1
09	23-Oct-2014	   5	Red	m	0	0.5432	I	W	BI	MW	bb	rr	2	2006	1	5	1
09	23-Oct-2014	   6	Red	g	1	0.7136	R	G	HR	SG	rb	br	2	2006	1	5	1
09	23-Oct-2014	   7	Red	w	0	1.3400	X	D	OX	FD	rr	bb	2	647	1	5	1
09	23-Oct-2014	   8	Red	m	0	1.6016	B	V	YB	OV	br	rb	2	647	1	5	1
09	23-Oct-2014	   9	Red	l	1	0.7742	Y	L	OY	CL	bb	rr	2	2006	1	5	1
09	23-Oct-2014	  10	Red	w	0	1.0229	M	H	SM	VH	bb	rr	2	647	1	5	1
