SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	centralized	centerLetters	centerTargetLetter
1	11-Mar-16	1	Red	w	0	1.9761	99	99	MQEI	SWLZ	9	9	1	2000	1	4	1	MQEI	M
1	11-Mar-16	2	Red	u	1	1.523	99	99	XIMU	TCJL	9999	9999	4	2000	1	4	1	XIMU	U
1	11-Mar-16	3	Red	o	0	1.4586	99	99	OFMW	LYXH	99	99	2	650	1	4	1	OFMW	F
1	11-Mar-16	4	Red	e	1	1.5237	99	99	IGEL	AXUB	999	999	3	650	1	4	1	IGEL	E
1	11-Mar-16	5	Red	t	0	1.0911	99	99	TXKN	SZBP	99	99	2	650	1	4	1	TXKN	X
1	11-Mar-16	6	Red	g	1	1.6792	99	99	GHCR	TMLQ	9	9	1	650	1	4	1	GHCR	G
1	11-Mar-16	7	Red	w	1	1.5883	99	99	ABEW	CNDX	9999	9999	4	2000	1	4	1	ABEW	W
1	11-Mar-16	8	Red	l	1	1.6656	99	99	YLKS	JNTC	99	99	2	2000	1	4	1	YLKS	L
1	11-Mar-16	9	Red	p	0	1.1825	99	99	PIMT	LRAG	999	999	3	650	1	4	1	PIMT	M
1	11-Mar-16	10	Red	h	1	1.3194	99	99	HSKF	ACTZ	9	9	1	2000	1	4	1	HSKF	H
1	11-Mar-16	11	Red	g	0	1.4873	99	99	GOEK	LUAX	9999	9999	4	650	1	4	1	GOEK	K
1	11-Mar-16	12	Red	b	1	2.1897	99	99	BZAG	NOJQ	9	9	1	650	1	4	1	BZAG	B
1	11-Mar-16	13	Red	j	1	1.3575	99	99	JHAL	GIPF	9	9	1	2000	1	4	1	JHAL	J
1	11-Mar-16	14	Red	e	0	1.3158	99	99	EILZ	RFWQ	9999	9999	4	650	1	4	1	EILZ	Z
1	11-Mar-16	15	Red	p	0	4.6054	99	99	PXDJ	KCNY	9999	9999	4	2000	1	4	1	PXDJ	J
1	11-Mar-16	16	Red	n	0	1.4247	99	99	NLWU	VYRC	99	99	2	650	1	4	1	NLWU	L
1	11-Mar-16	17	Red	i	1	1.1738	99	99	GUIC	THWF	999	999	3	2000	1	4	1	GUIC	I
1	11-Mar-16	18	Red	u	0	1.3294	99	99	UZGY	LHTF	99	99	2	650	1	4	1	UZGY	Z
1	11-Mar-16	19	Red	o	0	2.0554	99	99	QEJW	ORNU	99	99	2	2000	1	4	1	QEJW	E
1	11-Mar-16	20	Red	x	0	2.4203	99	99	XOVN	WEDL	99	99	2	2000	1	4	1	XOVN	O
1	11-Mar-16	21	Red	n	0	1.5355	99	99	NCGD	AJTX	999	999	3	2000	1	4	1	NCGD	G
1	11-Mar-16	22	Red	i	0	1.1988	99	99	BEIN	QYCW	9999	9999	4	650	1	4	1	BEIN	N
1	11-Mar-16	23	Red	p	1	2.4888	99	99	PNRE	UYZX	9	9	1	650	1	4	1	PNRE	P
1	11-Mar-16	24	Red	b	1	2.2281	99	99	BWLN	UHQP	9	9	1	2000	1	4	1	BWLN	B
1	11-Mar-16	25	Red	o	0	3.5569	99	99	QFAZ	HNEV	999	999	3	650	1	4	1	QFAZ	A
1	11-Mar-16	26	Red	p	0	4.7024	99	99	GHNC	DIYQ	999	999	3	650	1	4	1	GHNC	N
1	11-Mar-16	27	Red	o	0	3.3262	99	99	AQOF	MDVW	99	99	2	2000	1	4	1	AQOF	Q
1	11-Mar-16	28	Red	j	1	1.0495	99	99	VGBJ	RFUZ	9999	9999	4	2000	1	4	1	VGBJ	J
1	11-Mar-16	29	Red	j	1	1.1957	99	99	LZPJ	ASHY	9999	9999	4	650	1	4	1	LZPJ	J
1	11-Mar-16	30	Red	t	1	2.2289	99	99	TFXW	BSLM	9	9	1	650	1	4	1	TFXW	T
1	11-Mar-16	31	Red	f	1	1.7183	99	99	BPFT	SYHZ	999	999	3	2000	1	4	1	BPFT	F
1	11-Mar-16	32	Red	a	1	1.4556	99	99	SEAO	MIZR	999	999	3	2000	1	4	1	SEAO	A
1	11-Mar-16	1	Blue	c	1	1.088	99	99	CKQT	AYUB	9	9	1	650	1	4	1	CKQT	C
1	11-Mar-16	2	Blue	g	0	5.6881	99	99	CMGV	XPJT	9999	9999	4	650	1	4	1	CMGV	V
1	11-Mar-16	3	Blue	h	1	1.7132	99	99	ZAJH	PGOX	9999	9999	4	2000	1	4	1	ZAJH	H
1	11-Mar-16	4	Blue	u	0	1.4767	99	99	UBET	RYDP	999	999	3	2000	1	4	1	UBET	E
1	11-Mar-16	5	Blue	e	0	2.1897	99	99	EYGI	ZSUQ	99	99	2	2000	1	4	1	EYGI	Y
1	11-Mar-16	6	Blue	y	0	5.0154	99	99	FHVL	SCUR	999	999	3	650	1	4	1	FHVL	V
1	11-Mar-16	7	Blue	a	0	1.0371	99	99	ALVG	ZTNF	99	99	2	650	1	4	1	ALVG	L
1	11-Mar-16	8	Blue	r	1	1.1915	99	99	IXSR	VUWN	9999	9999	4	650	1	4	1	IXSR	R
1	11-Mar-16	9	Blue	s	0	2.5418	99	99	WOPK	JQHZ	9999	9999	4	2000	1	4	1	WOPK	K
1	11-Mar-16	10	Blue	d	0	5.8881	99	99	PVHT	GKFB	9	9	1	2000	1	4	1	PVHT	P
1	11-Mar-16	11	Blue	d	1	2.3572	99	99	DVWT	AKGF	9	9	1	650	1	4	1	DVWT	D
1	11-Mar-16	12	Blue	o	0	4.4295	99	99	DLYM	OWKI	9	9	1	650	1	4	1	DLYM	D
1	11-Mar-16	13	Blue	y	1	2.0141	99	99	XYQD	ABOC	99	99	2	2000	1	4	1	XYQD	Y
1	11-Mar-16	14	Blue	u	0	2.3745	99	99	UGFO	SXHM	9999	9999	4	650	1	4	1	UGFO	O
1	11-Mar-16	15	Blue	d	1	1.3235	99	99	WEBD	NVZG	9999	9999	4	2000	1	4	1	WEBD	D
1	11-Mar-16	16	Blue	r	1	1.2966	99	99	RMWG	SBQJ	9	9	1	2000	1	4	1	RMWG	R
1	11-Mar-16	17	Blue	j	1	1.5127	99	99	IJPG	DAVY	99	99	2	2000	1	4	1	IJPG	J
1	11-Mar-16	18	Blue	l	0	1.2418	99	99	LBRN	QOHT	999	999	3	650	1	4	1	LBRN	R
1	11-Mar-16	19	Blue	l	1	1.3897	99	99	GALE	JFPQ	999	999	3	2000	1	4	1	GALE	L
1	11-Mar-16	20	Blue	b	1	1.5631	99	99	WRBI	OCUF	999	999	3	2000	1	4	1	WRBI	B
1	11-Mar-16	21	Blue	t	1	1.8801	99	99	TXCK	NROB	9	9	1	2000	1	4	1	TXCK	T
