SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	centralized	centerLetters	centerTargetLetter	
25	17-May-2016	   1	Red	c	1	0.8514	99	99	EIOC	HTWB	9999	9999	4	650	1	3	1	EIOC	C	
25	17-May-2016	   2	Red	k	1	0.7724	99	99	SNRK	JZOF	9999	9999	4	650	1	3	1	SNRK	K	
25	17-May-2016	   3	Red	b	1	0.7911	99	99	DGBO	LNJV	999	999	3	650	1	3	1	DGBO	B	
25	17-May-2016	   4	Red	d	0	0.7952	99	99	SEPU	LOTD	9999	9999	4	650	1	3	1	SEPU	U	
25	17-May-2016	   5	Red	r	1	1.0259	99	99	RBTP	AOCJ	9	9	1	2000	1	3	1	RBTP	R	
25	17-May-2016	   6	Red	a	1	0.9221	99	99	RAKE	MZBC	99	99	2	650	1	3	1	RAKE	A	
25	17-May-2016	   7	Red	z	1	0.8119	99	99	ZQIV	KPAU	9	9	1	2000	1	3	1	ZQIV	Z	
25	17-May-2016	   8	Red	t	1	0.9760	99	99	OYCT	SMKD	9999	9999	4	2000	1	3	1	OYCT	T	
25	17-May-2016	   9	Red	m	1	1.0551	99	99	JXDM	WPCB	9999	9999	4	2000	1	3	1	JXDM	M	
25	17-May-2016	  10	Red	s	0	0.7997	99	99	FARE	NJPS	9999	9999	4	650	1	3	1	FARE	E	
25	17-May-2016	  11	Red	o	0	1.2872	99	99	RDJQ	UGVI	99	99	2	650	1	3	1	RDJQ	D	
25	17-May-2016	  12	Red	f	1	0.9513	99	99	SFJZ	OVKC	99	99	2	2000	1	3	1	SFJZ	F	
25	17-May-2016	  13	Red	p	1	0.9226	99	99	PEMI	RHGV	9	9	1	2000	1	3	1	PEMI	P	
25	17-May-2016	  14	Red	d	1	1.0431	99	99	DZPF	LGQS	9	9	1	650	1	3	1	DZPF	D	
25	17-May-2016	  15	Red	i	1	0.9018	99	99	VTIS	RWYU	999	999	3	650	1	3	1	VTIS	I	
25	17-May-2016	  16	Red	e	0	0.9767	99	99	THUW	MVLF	99	99	2	650	1	3	1	THUW	H	
25	17-May-2016	  17	Red	a	1	1.0391	99	99	XVOA	TRGJ	9999	9999	4	2000	1	3	1	XVOA	A	
25	17-May-2016	  18	Red	v	0	1.9495	99	99	ILXZ	WORF	9	9	1	650	1	3	1	ILXZ	I	
25	17-May-2016	  19	Red	k	1	1.0797	99	99	TSKC	LRIO	999	999	3	2000	1	3	1	TSKC	K	
25	17-May-2016	  20	Red	b	1	1.5123	99	99	PBFI	CKVD	99	99	2	2000	1	3	1	PBFI	B	
