SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	centralized	centerLetters	centerTargetLetter	
20	10-May-2016	   1	Blue	v	0	3.2142	F	V	FOKJ	VBSM	b	r	1	2000	1	6	0	99	99	
20	10-May-2016	   2	Blue	b	0	2.0087	X	L	SXWD	NLJM	bb	rr	2	650	1	6	0	99	99	
20	10-May-2016	   3	Blue	l	0	3.2934	F	W	FVYD	WSOP	r	b	1	650	1	6	0	99	99	
20	10-May-2016	   4	Blue	y	0	1.5213	H	O	WJPH	KVFO	brrb	rbbr	4	650	1	6	0	99	99	
20	10-May-2016	   5	Blue	b	0	1.7845	W	N	XWIZ	RNOY	bb	rr	2	2000	1	6	0	99	99	
20	10-May-2016	   6	Blue	c	1	2.3605	C	P	AEKC	JSRP	rrbb	bbrr	4	650	1	6	0	99	99	
20	10-May-2016	   7	Blue	s	0	1.9496	B	I	NCAB	QLMI	brrr	rbbb	4	2000	1	6	0	99	99	
20	10-May-2016	   8	Blue	p	0	5.7485	Q	R	QZPS	RIHU	b	r	1	650	1	6	0	99	99	
20	10-May-2016	   9	Blue	w	0	1.5895	B	K	TBLX	FKHP	rb	br	2	650	1	6	0	99	99	
20	10-May-2016	  10	Blue	e	1	1.1855	E	P	EAWQ	PMJV	b	r	1	2000	1	6	0	99	99	
20	10-May-2016	  11	Blue	g	1	2.5835	R	G	MPRV	WNGY	brr	rbb	3	2000	1	6	0	99	99	
20	10-May-2016	  12	Blue	d	1	1.4740	A	D	NRAE	SLDM	rrr	bbb	3	650	1	6	0	99	99	
20	10-May-2016	  13	Blue	n	0	2.2930	K	M	DBWK	HTPM	brbr	rbrb	4	650	1	6	0	99	99	
20	10-May-2016	  14	Blue	o	1	1.7890	O	M	BVTO	CDXM	rbbb	brrr	4	2000	1	6	0	99	99	
20	10-May-2016	  15	Blue	w	1	3.0024	F	W	JFVP	HWEL	rr	bb	2	2000	1	6	0	99	99	
20	10-May-2016	  16	Blue	a	1	7.1965	A	N	AHSE	NZWP	b	r	1	650	1	6	0	99	99	
20	10-May-2016	  17	Blue	z	1	1.8404	P	Z	WHBP	ROCZ	brrr	rbbb	4	2000	1	6	0	99	99	
20	10-May-2016	  18	Blue	s	0	1.7397	M	O	NMGW	SOPL	rb	br	2	650	1	6	0	99	99	
20	10-May-2016	  19	Blue	d	0	3.5338	O	E	ZBQO	KVSE	rrbr	bbrb	4	650	1	6	0	99	99	
20	10-May-2016	  20	Blue	q	0	1.7193	K	G	NDKS	WEGI	brr	rbb	3	650	1	6	0	99	99	
20	10-May-2016	  21	Blue	j	1	2.2137	J	X	KJZS	LXYM	bb	rr	2	650	1	6	0	99	99	
20	10-May-2016	  22	Blue	f	1	1.6042	F	S	FYGR	SJQL	b	r	1	2000	1	6	0	99	99	
20	10-May-2016	  23	Blue	b	0	1.5610	H	Q	RBHI	EXQD	bbb	rrr	3	650	1	6	0	99	99	
20	10-May-2016	  24	Blue	q	0	2.3343	T	Q	UTVI	FQYE	rb	br	2	2000	1	6	0	99	99	
20	10-May-2016	  25	Blue	n	0	2.1062	P	I	SWPG	UVIH	bbr	rrb	3	2000	1	6	0	99	99	
20	10-May-2016	  26	Blue	e	1	5.5723	L	E	LVQJ	ESMA	r	b	1	2000	1	6	0	99	99	
20	10-May-2016	  27	Blue	y	1	8.4835	Y	P	YDNA	PRBQ	b	r	1	650	1	6	0	99	99	
20	10-May-2016	  28	Blue	g	0	1.6805	R	G	QERD	UPGM	rrb	bbr	3	650	1	6	0	99	99	
20	10-May-2016	  29	Blue	p	0	2.0192	O	W	ROCU	QWSK	rr	bb	2	2000	1	6	0	99	99	
20	10-May-2016	  30	Blue	w	0	2.7612	F	J	DMFI	OBJN	brr	rbb	3	2000	1	6	0	99	99	
20	10-May-2016	  31	Blue	l	1	1.8730	L	R	WOLZ	FGRT	brb	rbr	3	2000	1	6	0	99	99	
20	10-May-2016	  32	Blue	b	1	1.7344	B	L	HCSB	WIOL	brbb	rbrr	4	2000	1	6	0	99	99	
20	10-May-2016	   1	Red	b	0	2.1087	T	N	GTOF	INRZ	rr	bb	2	650	1	6	0	99	99	
20	10-May-2016	   2	Red	w	0	1.1533	D	R	OVED	XBGR	rrbr	bbrb	4	650	1	6	0	99	99	
20	10-May-2016	   3	Red	j	1	2.2704	B	J	UBHV	GJZI	rb	br	2	2000	1	6	0	99	99	
20	10-May-2016	   4	Red	o	0	1.1595	X	O	RVQX	ZTEO	rrbr	bbrb	4	2000	1	6	0	99	99	
20	10-May-2016	   5	Red	q	1	7.9528	D	Q	DRLT	QWBP	b	r	1	2000	1	6	0	99	99	
20	10-May-2016	   6	Red	z	0	2.6322	T	X	ZLTY	OQXI	rbb	brr	3	650	1	6	0	99	99	
20	10-May-2016	   7	Red	s	0	5.2080	F	U	VFEN	SUTZ	br	rb	2	650	1	6	0	99	99	
20	10-May-2016	   8	Red	k	1	1.5029	A	K	CVJA	IUXK	rrbb	bbrr	4	650	1	6	0	99	99	
20	10-May-2016	   9	Red	e	1	6.5331	S	E	SKIN	ELYO	b	r	1	650	1	6	0	99	99	
20	10-May-2016	  10	Red	w	0	3.5586	D	P	QDCR	GPUL	br	rb	2	2000	1	6	0	99	99	
20	10-May-2016	  11	Red	b	0	2.7274	C	H	NMUC	IOPH	rrrb	bbbr	4	650	1	6	0	99	99	
20	10-May-2016	  12	Red	d	0	1.4610	M	V	ADMO	UHVN	rrb	bbr	3	650	1	6	0	99	99	
20	10-May-2016	  13	Red	t	1	8.1004	T	R	TCZA	RWMX	r	b	1	650	1	6	0	99	99	
20	10-May-2016	  14	Red	s	0	2.8450	C	H	WGCF	DLHN	bbb	rrr	3	650	1	6	0	99	99	
20	10-May-2016	  15	Red	w	0	1.4674	S	H	SKXI	HBQA	b	r	1	650	1	6	0	99	99	
20	10-May-2016	  16	Red	v	0	1.5851	Z	S	BAUZ	MRFS	rrbr	bbrb	4	2000	1	6	0	99	99	
20	10-May-2016	  17	Red	b	0	1.2704	W	X	QWTA	DXVC	rr	bb	2	2000	1	6	0	99	99	
20	10-May-2016	  18	Red	b	0	12.9947	N	L	BZJN	DCXL	rrrr	bbbb	4	2000	1	6	0	99	99	
20	10-May-2016	  19	Red	d	0	2.2728	I	W	PIAT	FWRC	rr	bb	2	2000	1	6	0	99	99	
20	10-May-2016	  20	Red	h	1	1.3707	B	H	BZLX	HDQR	b	r	1	2000	1	6	0	99	99	
20	10-May-2016	  21	Red	o	0	1.7501	V	X	OVPC	YXUA	br	rb	2	650	1	6	0	99	99	
20	10-May-2016	  22	Red	z	1	0.9616	Z	T	KAZN	VPTF	brr	rbb	3	2000	1	6	0	99	99	
20	10-May-2016	  23	Red	w	0	1.5099	O	E	NWMO	DFBE	bbbr	rrrb	4	650	1	6	0	99	99	
20	10-May-2016	  24	Red	s	0	1.7040	Q	G	VXSQ	BWHG	brrr	rbbb	4	2000	1	6	0	99	99	
20	10-May-2016	  25	Red	g	0	2.7791	R	N	MLRC	XSNW	brb	rbr	3	2000	1	6	0	99	99	
20	10-May-2016	  26	Red	y	1	3.2941	Y	P	ZYBX	GPLJ	br	rb	2	650	1	6	0	99	99	
20	10-May-2016	  27	Red	i	0	1.4464	B	E	IFBO	UAER	rbr	brb	3	650	1	6	0	99	99	
20	10-May-2016	  28	Red	b	0	4.1517	F	R	FWYM	RTCE	b	r	1	650	1	6	0	99	99	
20	10-May-2016	  29	Red	d	0	2.7964	I	Y	EHIU	JMYF	bbr	rrb	3	2000	1	6	0	99	99	
20	10-May-2016	  30	Red	a	1	0.6400	A	K	IRAB	GNKJ	bbr	rrb	3	2000	1	6	0	99	99	
20	10-May-2016	  31	Red	d	1	3.1166	D	O	DWLE	OJXK	r	b	1	2000	1	6	0	99	99	
20	10-May-2016	  32	Red	z	1	7.2601	Z	V	ZITG	VFJY	r	b	1	2000	1	6	0	99	99	
20	10-May-2016	   1	Blue	p	1	1.3498	Z	P	AOWZ	DBJP	rrrr	bbbb	4	650	1	6	0	99	99	
20	10-May-2016	   2	Blue	a	0	0.5424	I	V	HLCI	PNDV	bbbr	rrrb	4	2000	1	6	0	99	99	
20	10-May-2016	   3	Blue	t	1	5.0791	V	T	KVZB	HTGC	br	rb	2	650	1	6	0	99	99	
20	10-May-2016	   4	Blue	b	1	1.6769	G	B	OVGT	PUBX	bbr	rrb	3	2000	1	6	0	99	99	
20	10-May-2016	   5	Blue	t	1	3.6333	W	T	RZWL	IYTK	bbr	rrb	3	2000	1	6	0	99	99	
20	10-May-2016	   6	Blue	w	0	12.2781	Y	Z	XYML	SZTA	br	rb	2	650	1	6	0	99	99	
20	10-May-2016	   7	Blue	d	0	2.5317	N	M	GNBY	FMUA	br	rb	2	2000	1	6	0	99	99	
20	10-May-2016	   8	Blue	y	1	1.2825	A	Y	LJRA	DWTY	bbbr	rrrb	4	650	1	6	0	99	99	
20	10-May-2016	   9	Blue	v	1	1.5307	V	N	YOQV	KSUN	rrrb	bbbr	4	650	1	6	0	99	99	
20	10-May-2016	  10	Blue	r	0	1.6054	M	S	OXYM	GVES	bbbr	rrrb	4	650	1	6	0	99	99	
20	10-May-2016	  11	Blue	b	0	1.8329	O	A	TOIV	DAKP	rb	br	2	2000	1	6	0	99	99	
20	10-May-2016	  12	Blue	w	1	1.8197	T	W	TOHV	WXES	r	b	1	2000	1	6	0	99	99	
20	10-May-2016	  13	Blue	z	1	1.2084	Z	M	RKZF	QYMX	rbb	brr	3	650	1	6	0	99	99	
20	10-May-2016	  14	Blue	p	0	2.8665	Z	L	GZOQ	PLFX	rb	br	2	650	1	6	0	99	99	
20	10-May-2016	  15	Blue	y	1	3.8561	T	Y	TBEC	YUVR	r	b	1	650	1	6	0	99	99	
20	10-May-2016	  16	Blue	j	0	1.7996	J	Y	WNJM	PKYO	rbr	brb	3	2000	1	6	0	99	99	
20	10-May-2016	  17	Blue	h	1	2.9480	O	H	ONWF	HKXV	r	b	1	2000	1	6	0	99	99	
20	10-May-2016	  18	Blue	v	0	1.7870	F	N	QVFI	JLNU	bbr	rrb	3	650	1	6	0	99	99	
20	10-May-2016	  19	Blue	k	0	0.5705	F	O	NJFX	TBOV	bbb	rrr	3	2000	1	6	0	99	99	
20	10-May-2016	  20	Blue	m	0	3.5452	U	L	UMHX	LBFJ	b	r	1	2000	1	6	0	99	99	
20	10-May-2016	  21	Blue	l	0	2.3146	R	S	KCRV	XOSE	rbb	brr	3	650	1	6	0	99	99	
20	10-May-2016	  22	Blue	m	0	1.3458	Y	J	MOLY	BZXJ	brbb	rbrr	4	2000	1	6	0	99	99	
20	10-May-2016	  23	Blue	h	0	6.3582	A	W	BAGS	PWCF	rb	br	2	2000	1	6	0	99	99	
20	10-May-2016	  24	Blue	a	0	1.4441	B	R	BELO	RUAQ	b	r	1	2000	1	6	0	99	99	
20	10-May-2016	  25	Blue	n	1	0.4981	N	V	HLMN	UQZV	bbrb	rrbr	4	2000	1	6	0	99	99	
20	10-May-2016	  26	Blue	w	0	3.7242	L	D	ALZF	UDWP	bb	rr	2	650	1	6	0	99	99	
20	10-May-2016	  27	Blue	y	1	1.9976	Y	S	JIYE	AKSF	rbb	brr	3	650	1	6	0	99	99	
20	10-May-2016	  28	Blue	p	1	1.4187	P	S	PONT	SGQI	b	r	1	650	1	6	0	99	99	
20	10-May-2016	  29	Blue	g	1	1.3811	G	Y	HGMK	UYTI	rb	br	2	2000	1	6	0	99	99	
20	10-May-2016	  30	Blue	e	1	1.4805	M	E	MZCK	EDPF	r	b	1	650	1	6	0	99	99	
20	10-May-2016	  31	Blue	u	1	1.2724	G	U	GDOY	ULBJ	r	b	1	650	1	6	0	99	99	
20	10-May-2016	  32	Blue	r	0	2.0581	I	L	JKCI	HSXL	rbrr	brbb	4	2000	1	6	0	99	99	
20	10-May-2016	   1	Red	w	0	2.7342	H	K	ZHPM	FKGJ	rr	bb	2	2000	1	6	0	99	99	
20	10-May-2016	   2	Red	c	0	3.0007	Q	C	QWER	CSAD	r	b	1	650	1	6	0	99	99	
20	10-May-2016	   3	Red	n	0	9.4890	C	X	NEQC	FLHX	brbr	rbrb	4	2000	1	6	0	99	99	
20	10-May-2016	   4	Red	i	1	1.8671	I	G	AUIE	ZLGP	rbr	brb	3	650	1	6	0	99	99	
20	10-May-2016	   5	Red	b	0	1.8291	R	M	IPRT	YJMS	rbr	brb	3	650	1	6	0	99	99	
20	10-May-2016	   6	Red	m	0	2.2021	A	Y	MAEU	KYIS	rb	br	2	2000	1	6	0	99	99	
20	10-May-2016	   7	Red	h	0	4.3611	E	L	TEZV	MLWO	br	rb	2	650	1	6	0	99	99	
20	10-May-2016	   8	Red	t	1	1.4235	T	M	ELFT	SRVM	rrrr	bbbb	4	650	1	6	0	99	99	
20	10-May-2016	   9	Red	w	0	2.8809	P	X	PGLT	XFSO	b	r	1	2000	1	6	0	99	99	
20	10-May-2016	  10	Red	z	1	2.6217	Z	L	ZCTH	LKBE	r	b	1	2000	1	6	0	99	99	
20	10-May-2016	  11	Red	h	1	5.3250	H	V	HSAX	VUZT	r	b	1	650	1	6	0	99	99	
20	10-May-2016	  12	Red	s	1	1.6345	W	S	XFVW	EHRS	rrbb	bbrr	4	650	1	6	0	99	99	
20	10-May-2016	  13	Red	w	0	2.2195	P	E	MPWH	XEJT	br	rb	2	650	1	6	0	99	99	
20	10-May-2016	  14	Red	a	0	1.7693	Y	P	YFXQ	PDRK	r	b	1	2000	1	6	0	99	99	
20	10-May-2016	  15	Red	w	0	2.2867	D	Y	QDKJ	FYLP	br	rb	2	650	1	6	0	99	99	
20	10-May-2016	  16	Red	x	1	0.6293	X	T	VDXF	SJTQ	bbr	rrb	3	2000	1	6	0	99	99	
20	10-May-2016	  17	Red	g	1	1.4291	D	G	UITD	OSZG	bbbb	rrrr	4	650	1	6	0	99	99	
20	10-May-2016	  18	Red	v	1	1.5681	V	W	UVTM	ZWDL	rr	bb	2	2000	1	6	0	99	99	
20	10-May-2016	  19	Red	k	1	1.3034	E	K	SZEV	IWKY	rrb	bbr	3	2000	1	6	0	99	99	
20	10-May-2016	  20	Red	m	0	1.7431	Y	E	QMDY	CXOE	brrr	rbbb	4	650	1	6	0	99	99	
20	10-May-2016	  21	Red	q	1	1.4160	Q	O	PDQM	EKOB	brr	rbb	3	650	1	6	0	99	99	
20	10-May-2016	  22	Red	s	0	2.4261	D	P	DNRJ	POLT	r	b	1	650	1	6	0	99	99	
20	10-May-2016	  23	Red	a	1	0.9083	A	U	BCTA	OPLU	rbbr	brrb	4	2000	1	6	0	99	99	
20	10-May-2016	  24	Red	l	0	12.7445	N	B	NMID	BHSW	b	r	1	650	1	6	0	99	99	
20	10-May-2016	  25	Red	w	0	0.9277	K	X	JUKS	VHXQ	brb	rbr	3	2000	1	6	0	99	99	
20	10-May-2016	  26	Red	k	0	5.2903	T	P	LTSX	APBG	rb	br	2	650	1	6	0	99	99	
20	10-May-2016	  27	Red	j	1	0.4336	X	J	ZWIX	BAPJ	rrrb	bbbr	4	2000	1	6	0	99	99	
20	10-May-2016	  28	Red	b	0	1.4982	W	C	PSWZ	XACO	brr	rbb	3	2000	1	6	0	99	99	
20	10-May-2016	  29	Red	j	1	2.9948	R	J	TLRZ	IWJO	rbb	brr	3	650	1	6	0	99	99	
20	10-May-2016	  30	Red	o	0	0.4372	W	T	OWPG	UTJS	rb	br	2	2000	1	6	0	99	99	
20	10-May-2016	  31	Red	o	0	2.4791	A	W	TQDA	LVOW	bbrb	rrbr	4	2000	1	6	0	99	99	
20	10-May-2016	  32	Red	x	0	3.6198	I	H	IZNU	HLXP	r	b	1	2000	1	6	0	99	99	
20	10-May-2016	   1	Blue	n	0	1.9091	99	99	AWXL	UPOM	999	999	3	650	1	3	1	AWXL	X	
20	10-May-2016	   2	Blue	s	1	1.1166	99	99	TSND	OEKA	99	99	2	650	1	3	1	TSND	S	
20	10-May-2016	   3	Blue	k	1	0.4987	99	99	KIWT	SFGX	9	9	1	2000	1	3	1	KIWT	K	
20	10-May-2016	   4	Blue	d	0	3.7730	99	99	DNOR	SMEQ	99	99	2	2000	1	3	1	DNOR	N	
20	10-May-2016	   5	Blue	g	0	2.4445	99	99	EHJK	ZLUG	99	99	2	650	1	3	1	EHJK	H	
20	10-May-2016	   6	Blue	j	1	1.0793	99	99	QIXJ	ZWNU	9999	9999	4	650	1	3	1	QIXJ	J	
20	10-May-2016	   7	Blue	d	0	1.6296	99	99	LIVG	NCED	99	99	2	2000	1	3	1	LIVG	I	
20	10-May-2016	   8	Blue	w	0	1.2032	99	99	WKHA	OTYF	99	99	2	2000	1	3	1	WKHA	K	
20	10-May-2016	   9	Blue	p	0	17.2179	99	99	IXHR	SOZC	9	9	1	650	1	3	1	IXHR	I	
20	10-May-2016	  10	Blue	m	0	2.6113	99	99	YXEI	KMOH	9	9	1	650	1	3	1	YXEI	Y	
20	10-May-2016	  11	Blue	h	0	1.2954	99	99	QUHB	CVMX	9999	9999	4	650	1	3	1	QUHB	B	
20	10-May-2016	  12	Blue	z	0	1.1461	99	99	YFQO	DBGX	9999	9999	4	2000	1	3	1	YFQO	O	
20	10-May-2016	  13	Blue	d	0	1.3501	99	99	EFRS	PIDX	99	99	2	2000	1	3	1	EFRS	F	
20	10-May-2016	  14	Blue	r	0	1.4237	99	99	ASHW	CGRB	999	999	3	2000	1	3	1	ASHW	H	
20	10-May-2016	  15	Blue	n	0	1.7152	99	99	PDSQ	LCNJ	9999	9999	4	650	1	3	1	PDSQ	Q	
20	10-May-2016	  16	Blue	b	0	2.4679	99	99	WMIE	NPRD	9	9	1	2000	1	3	1	WMIE	W	
20	10-May-2016	  17	Blue	w	0	1.4600	99	99	UMGL	VESN	9999	9999	4	2000	1	3	1	UMGL	L	
20	10-May-2016	  18	Blue	r	0	1.5281	99	99	HJOW	RBLN	9999	9999	4	650	1	3	1	HJOW	W	
