SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	centralized	centerLetters	centerTargetLetter	
15	05-May-2016	   1	Red	a	1	1.1759	99	99	GAXH	BDJY	99	99	2	650	1	3	1	GAXH	A	
15	05-May-2016	   2	Red	f	1	1.5729	99	99	QGTF	XZWN	9999	9999	4	2000	1	3	1	QGTF	F	
15	05-May-2016	   3	Red	v	1	1.5623	99	99	VMBY	JQCD	9	9	1	650	1	3	1	VMBY	V	
15	05-May-2016	   4	Red	f	1	2.3362	99	99	VFMR	PGLT	99	99	2	650	1	3	1	VFMR	F	
15	05-May-2016	   5	Red	w	1	1.2430	99	99	DMWH	VBFQ	999	999	3	650	1	3	1	DMWH	W	
15	05-May-2016	   6	Red	f	0	1.0537	99	99	EKFO	NUJP	9999	9999	4	650	1	3	1	EKFO	O	
15	05-May-2016	   7	Red	i	1	1.1432	99	99	WMIH	KJFA	999	999	3	2000	1	3	1	WMIH	I	
15	05-May-2016	   8	Red	d	0	1.1335	99	99	VKMT	UYBD	99	99	2	2000	1	3	1	VKMT	K	
15	05-May-2016	   9	Red	v	0	5.8817	99	99	SCBF	IQVD	99	99	2	650	1	3	1	SCBF	C	
15	05-May-2016	  10	Red	r	1	1.1693	99	99	OZRX	MICL	999	999	3	650	1	3	1	OZRX	R	
15	05-May-2016	  11	Red	y	1	1.1882	99	99	YQUK	XJEW	9	9	1	650	1	3	1	YQUK	Y	
15	05-May-2016	  12	Red	e	1	1.1227	99	99	UCYE	ILOV	9999	9999	4	2000	1	3	1	UCYE	E	
15	05-May-2016	  13	Red	g	1	0.9527	99	99	JRGY	XFTA	999	999	3	2000	1	3	1	JRGY	G	
15	05-May-2016	  14	Red	s	1	1.0534	99	99	UASQ	IXMN	999	999	3	650	1	3	1	UASQ	S	
15	05-May-2016	  15	Red	s	1	1.1695	99	99	WZNS	RJGE	9999	9999	4	2000	1	3	1	WZNS	S	
15	05-May-2016	  16	Red	s	1	1.5903	99	99	FJSE	LTBO	999	999	3	650	1	3	1	FJSE	S	
15	05-May-2016	  17	Red	m	1	2.9295	99	99	MNQO	ZPVD	9	9	1	650	1	3	1	MNQO	M	
15	05-May-2016	  18	Red	w	1	1.1376	99	99	XIWV	ZJCO	999	999	3	2000	1	3	1	XIWV	W	
15	05-May-2016	  19	Red	u	1	1.2199	99	99	UKYX	EMSF	9	9	1	2000	1	3	1	UKYX	U	
15	05-May-2016	  20	Red	t	0	2.2800	99	99	BTWR	FMDO	9999	9999	4	650	1	3	1	BTWR	R	
15	05-May-2016	  21	Red	s	1	1.4044	99	99	SEQW	XMFL	9	9	1	2000	1	3	1	SEQW	S	
15	05-May-2016	  22	Red	v	0	1.2932	99	99	NAMS	ZVGP	9	9	1	650	1	3	1	NAMS	N	
15	05-May-2016	  23	Red	l	1	1.2143	99	99	VLAT	MCXS	99	99	2	2000	1	3	1	VLAT	L	
15	05-May-2016	  24	Red	q	1	1.1430	99	99	QUXR	ZNBY	9	9	1	2000	1	3	1	QUXR	Q	
15	05-May-2016	  25	Red	l	1	1.2197	99	99	PLVW	DIOC	99	99	2	2000	1	3	1	PLVW	L	
15	05-May-2016	  26	Red	z	0	1.5243	99	99	ZBXJ	OKYE	99	99	2	650	1	3	1	ZBXJ	B	
15	05-May-2016	  27	Red	t	0	1.1819	99	99	SIGU	HOKT	9999	9999	4	650	1	3	1	SIGU	U	
15	05-May-2016	  28	Red	x	1	1.0597	99	99	GSFX	TIRE	9999	9999	4	2000	1	3	1	GSFX	X	
15	05-May-2016	  29	Red	a	0	1.4904	99	99	QVGL	KFIA	9	9	1	2000	1	3	1	QVGL	Q	
15	05-May-2016	  30	Red	d	0	1.1963	99	99	CZQP	XIAD	9999	9999	4	650	1	3	1	CZQP	P	
15	05-May-2016	  31	Red	m	0	1.1861	99	99	JZOS	APHM	999	999	3	2000	1	3	1	JZOS	O	
15	05-May-2016	  32	Red	o	0	12.3885	99	99	NQUZ	FOJW	99	99	2	2000	1	3	1	NQUZ	Q	
15	05-May-2016	   1	Blue	r	1	1.2352	99	99	HRTA	EFNW	99	99	2	650	1	3	1	HRTA	R	
15	05-May-2016	   2	Blue	c	1	1.2721	99	99	CWLG	NATK	9	9	1	650	1	3	1	CWLG	C	
15	05-May-2016	   3	Blue	t	1	1.1785	99	99	MNTI	FJOW	999	999	3	650	1	3	1	MNTI	T	
15	05-May-2016	   4	Blue	w	1	1.1581	99	99	GWUL	SJED	99	99	2	2000	1	3	1	GWUL	W	
15	05-May-2016	   5	Blue	m	1	1.8887	99	99	MHPB	XCLZ	9	9	1	2000	1	3	1	MHPB	M	
15	05-May-2016	   6	Blue	r	1	1.1568	99	99	BRVP	GYNA	99	99	2	2000	1	3	1	BRVP	R	
15	05-May-2016	   7	Blue	r	0	1.1349	99	99	ZLFH	YRSO	9	9	1	2000	1	3	1	ZLFH	Z	
15	05-May-2016	   8	Blue	d	1	1.3236	99	99	HDVL	ZCYN	99	99	2	650	1	3	1	HDVL	D	
15	05-May-2016	   9	Blue	u	1	1.0450	99	99	YKGU	SOEF	9999	9999	4	2000	1	3	1	YKGU	U	
15	05-May-2016	  10	Blue	f	1	1.0772	99	99	PNFM	SYTU	999	999	3	650	1	3	1	PNFM	F	
