SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	centralized	centerLetters	centerTargetLetter	
10	28-Apr-2016	   1	Blue	r	1	0.9474	M	R	MKID	ROQN	r	b	1	650	1	6	0	99	99	
10	28-Apr-2016	   2	Blue	r	1	0.8616	R	Y	ZDMR	WGIY	rbbb	brrr	4	2000	1	6	0	99	99	
10	28-Apr-2016	   3	Blue	d	1	0.8635	C	D	RNCB	VMDT	rbr	brb	3	2000	1	6	0	99	99	
10	28-Apr-2016	   4	Blue	i	1	0.9758	I	F	BDIQ	LKFJ	brb	rbr	3	2000	1	6	0	99	99	
10	28-Apr-2016	   5	Blue	k	1	1.0531	K	I	PBKV	GAIJ	brb	rbr	3	2000	1	6	0	99	99	
10	28-Apr-2016	   6	Blue	o	1	1.2506	S	O	SKFM	OTGW	r	b	1	2000	1	6	0	99	99	
10	28-Apr-2016	   7	Blue	d	1	0.9330	D	A	VYDR	GMAN	bbb	rrr	3	650	1	6	0	99	99	
10	28-Apr-2016	   8	Blue	g	1	0.9719	G	T	DNUG	ZXOT	brrb	rbbr	4	2000	1	6	0	99	99	
10	28-Apr-2016	   9	Blue	b	0	1.2203	B	N	DBCK	JNQG	rr	bb	2	650	1	6	0	99	99	
10	28-Apr-2016	  10	Blue	w	1	1.1451	M	W	GKCM	QFTW	bbrr	rrbb	4	650	1	6	0	99	99	
10	28-Apr-2016	  11	Blue	b	1	1.0765	V	B	UVYA	WBXL	rr	bb	2	2000	1	6	0	99	99	
10	28-Apr-2016	  12	Blue	z	1	0.9736	Z	L	JCGZ	NFUL	brrb	rbbr	4	650	1	6	0	99	99	
10	28-Apr-2016	  13	Blue	c	1	1.3107	C	L	CXFT	LQWK	b	r	1	650	1	6	0	99	99	
10	28-Apr-2016	  14	Blue	w	1	1.0353	F	W	HFQO	PWSL	rr	bb	2	650	1	6	0	99	99	
10	28-Apr-2016	  15	Blue	w	1	0.9893	X	W	KDYX	QILW	brbr	rbrb	4	650	1	6	0	99	99	
10	28-Apr-2016	  16	Blue	k	1	0.9537	U	K	QZFU	HOBK	brbr	rbrb	4	650	1	6	0	99	99	
10	28-Apr-2016	  17	Blue	t	1	0.9421	T	M	ZFTV	JDMB	bbb	rrr	3	650	1	6	0	99	99	
10	28-Apr-2016	  18	Blue	u	0	1.0803	B	H	DBAG	MHVZ	rb	br	2	2000	1	6	0	99	99	
10	28-Apr-2016	  19	Blue	a	1	1.4551	A	G	ZAJH	PGOX	bb	rr	2	650	1	6	0	99	99	
10	28-Apr-2016	  20	Blue	a	0	1.2022	V	U	FHVL	SCUR	rrb	bbr	3	2000	1	6	0	99	99	
10	28-Apr-2016	  21	Blue	f	1	1.2208	H	F	PVHT	GKFB	rrr	bbb	3	650	1	6	0	99	99	
10	28-Apr-2016	  22	Blue	q	0	2.3494	U	S	UGFO	SXHM	b	r	1	650	1	6	0	99	99	
10	28-Apr-2016	  23	Blue	o	0	0.9939	G	J	RMWG	SBQJ	rbrb	brbr	4	2000	1	6	0	99	99	
10	28-Apr-2016	  24	Blue	a	0	2.4350	T	N	TXCK	NROB	b	r	1	650	1	6	0	99	99	
10	28-Apr-2016	  25	Blue	c	1	1.2903	A	C	VAUB	DCWO	rr	bb	2	2000	1	6	0	99	99	
10	28-Apr-2016	  26	Blue	v	1	1.4604	V	T	YHPV	FUDT	rbbb	brrr	4	2000	1	6	0	99	99	
10	28-Apr-2016	  27	Blue	w	1	1.4295	G	W	GJUQ	WNRY	r	b	1	2000	1	6	0	99	99	
10	28-Apr-2016	  28	Blue	b	0	0.8782	X	V	XDRJ	VEWN	b	r	1	2000	1	6	0	99	99	
10	28-Apr-2016	  29	Blue	g	1	1.2671	K	G	OKXA	MGND	rr	bb	2	650	1	6	0	99	99	
10	28-Apr-2016	  30	Blue	w	0	1.0284	N	X	FNOS	YXAJ	rb	br	2	2000	1	6	0	99	99	
10	28-Apr-2016	  31	Blue	z	1	0.9489	Z	B	DOZP	HCBR	bbb	rrr	3	650	1	6	0	99	99	
10	28-Apr-2016	  32	Blue	z	1	0.7980	Z	T	ZXVR	THJW	b	r	1	2000	1	6	0	99	99	
10	28-Apr-2016	   1	Red	t	1	0.9380	M	T	ZMEB	OTVN	rb	br	2	2000	1	6	0	99	99	
10	28-Apr-2016	   2	Red	p	1	2.2266	P	N	PWEQ	NIRB	r	b	1	650	1	6	0	99	99	
10	28-Apr-2016	   3	Red	f	1	1.1882	F	O	RXFM	YBOJ	rbr	brb	3	2000	1	6	0	99	99	
10	28-Apr-2016	   4	Red	k	1	1.0615	Q	K	QSOY	KFWA	b	r	1	650	1	6	0	99	99	
10	28-Apr-2016	   5	Red	o	1	0.8773	S	O	UMSB	CIOF	rbb	brr	3	2000	1	6	0	99	99	
10	28-Apr-2016	   6	Red	i	1	0.8352	U	I	UDZO	IMTL	b	r	1	2000	1	6	0	99	99	
10	28-Apr-2016	   7	Red	b	0	0.9136	W	Z	TWGN	YZPS	rr	bb	2	650	1	6	0	99	99	
10	28-Apr-2016	   8	Red	b	1	0.7728	Y	B	YRMJ	BQVS	b	r	1	2000	1	6	0	99	99	
10	28-Apr-2016	   9	Red	o	1	0.9642	O	X	COVI	RXKU	br	rb	2	650	1	6	0	99	99	
